School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Abraham Lincoln High (San Jose Unified),Santa Clara,San Jose Unified,High School,1903,14.2,0.6,4,3.3,1.6,72.9,0.5,1.6,0.3,15.3,55.8,22.3,10,3.2,467,469
Abraham Lincoln Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1030,15,0.2,23.8,1.4,0.5,72.6,0.1,0.5,0.1,0.9,89.9,18.7,18,0,459,418
Abraxis Charter (Santa Rosa High),Sonoma,Santa Rosa High,High School,41,24.4,0,0,7.3,0,73.2,0,4.9,0,14.6,95.1,13.7,2,0,N/A,N/A
Academies of Education and Empowerment at Carson High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,563,4.8,0.2,1.2,17.8,22.4,51,4.4,0.9,0,2.1,61.3,26.7,17,0,417,420
Academies of the Antelope Valley (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,331,2.1,0.9,2.7,15.1,3.9,51.4,0,3,0.6,22.4,58,15.7,9,6.8,0,0
Academy for Multilingual Arts and Science at Mervyn M. Dymally High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,703,24.2,0.1,0,23.6,0.1,75.2,0,0.1,0,0.7,92,21.1,10,1.6,371,356
Academy of Arts and Sciences: Los Angeles (9-12) (Acton-Agua Dulce Unified),Los Angeles,Acton-Agua Dulce Unified,High School,29,N/A,0,3.4,6.9,0,31,3.4,6.9,6.9,41.4,37.9,9,2,0,N/A,N/A
Academy of Medical Arts at Carson High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,510,4.3,0.2,2.7,8.8,41.2,39.2,4.1,1.8,0.2,1.8,60.6,24.9,18,0.2,450,428
Academy of Science and Engineering (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,226,13.3,0,0,16.4,0,83.6,0,0,0,0,93.4,18.5,2,2.1,366,381
Academy of the Canyons (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,395,0.3,0,19.5,2,11.1,22.8,0,5.1,0,39.5,7.8,33.2,12,0.3,597,579
Acalanes High (Acalanes Union High),Contra Costa,Acalanes Union High,High School,1423,1.2,0,9.7,0.8,1.7,7.7,0.4,7.4,0.3,72,3.2,20.3,13,2.2,602,587
ACE Charter High (East Side Union High),Santa Clara,East Side Union High,High School,267,51.7,0,0.4,0,0,97.8,0,0.4,0.7,0.7,95.9,17.8,2,19.4,0,0
Adelanto High (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,1695,11.5,0.4,1.1,26.1,0.4,63.5,0.8,1.9,0.7,5.1,86.1,23.2,7,11.1,417,409
Adolfo Camarillo High (Oxnard Union High),Ventura,Oxnard Union High,High School,2418,4.6,0.2,5.7,1.7,4.5,40.4,0.3,3.4,0,43.7,24.8,26.7,15,3.8,565,525
Adrian Wilcox High (Santa Clara Unified),Santa Clara,Santa Clara Unified,High School,1977,11.9,0.4,27,2.4,6.5,37.1,0.7,3.5,0.3,22.2,41.6,23,8,2.9,538,514
Agoura High (Las Virgenes Unified),Los Angeles,Las Virgenes Unified,High School,2075,1.2,0.6,6.6,1.4,0.8,10.4,0,2.7,0,77.3,7,24.7,10,1.4,568,554
Alain Leroy Locke College Preparatory Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1684,26.2,0.3,0,27,0,70.7,0,0.7,1.2,0.2,94.2,18.7,4,11.7,359,353
Alameda Community Learning Center (Alameda Unified),Alameda,Alameda Unified,High School,379,6.9,0.3,17.4,6.9,5.3,14.8,0,10,1.6,43.8,11.1,23.3,3,3.5,539,516
Alameda High (Alameda Unified),Alameda,Alameda Unified,High School,1718,11.8,0.2,40.3,6.5,5.3,11.9,0.8,3.9,0.1,31.1,18.2,21.4,11,2.5,562,533
Albany High (Albany City Unified),Alameda,Albany City Unified,High School,1210,9,0.2,28.6,4.9,1.7,16.6,0.3,10.3,0.1,37.2,17,19.3,6,2.5,607,575
"Albert Einstein Academy for Letters, Arts and Sciences (William S. Hart Union High)",Los Angeles,William S. Hart Union High,High School,449,2,1.3,8.5,4.2,7.3,14.7,0,3.6,2,58.4,6.2,21.4,4,0.4,588,581
Alexander Hamilton Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2879,6.7,0.2,2.7,28.4,1.2,49.7,0.4,1.2,0.8,15.3,62.8,22.6,16,2,461,471
Alhambra High (Alhambra Unified),Los Angeles,Alhambra Unified,High School,2642,16.5,0.3,41.6,1.1,1.9,51.2,0.2,1.6,0.1,2.1,72.1,25.6,13,0.3,527,469
Alhambra Senior High (Martinez Unified),Contra Costa,Martinez Unified,High School,1179,5.6,0.2,4.3,2.7,3.7,27.5,0.3,8.7,0.8,51.9,28.1,21.1,9,4.3,527,496
Alisal High (Salinas Union High),Monterey,Salinas Union High,High School,2585,28,0.1,0,0.1,0.7,97.4,0.1,0,0,1.5,84.8,24.5,9,6.1,431,416
Aliso Niguel High (Capistrano Unified),Orange,Capistrano Unified,High School,3068,2.7,0.2,11.5,1.2,2.8,17.6,0.1,7.8,0.5,58.4,11.7,28.7,15,2.5,575,549
Alliance Alice M. Baxter College-Ready High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,220,5.9,0.5,3.2,5.9,0.5,78.6,0.9,0,0,10.5,81.4,24.4,1,0.4,N/A,N/A
Alliance Cindy and Bill Simon Technology Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,514,18.3,0.2,0,8.4,0.2,90.7,0,0,0,0.6,99.4,17.5,1,0,381,356
Alliance Collins Family College-Ready High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,601,8.3,0,0.3,0.2,0,98.5,0,0,0,1,92,18.6,2,0.2,420,414
Alliance Dr. Olga Mohan High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,451,10.9,0,0.4,0.4,0,96.9,0,0,0,2.2,96,17.3,2,0.9,474,450
Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,980,11.8,0.1,0.1,1.5,0,94.2,0,0,0,4.1,96.8,21.3,2,0.6,432,441
Alliance Judy Ivie Burton Technology Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,600,8.8,0,0,4.2,0,95.3,0,0.2,0,0.3,96,21.3,2,0,419,400
Alliance Leichtman-Levine Family Foundation Environmental Science High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,528,8.3,0.8,3,0.9,4.2,87.3,0,0.2,0,3.6,87.9,19.4,2,0.2,442,439
Alliance Marc & Eva Stern Math and Science (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,601,6.8,0.5,1,0.8,0.3,96.7,0,0,0,0.7,89.2,18.2,2,1.7,434,435
Alliance Margaret M. Bloomfield Technology Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,280,17.1,0,0,0,0,95.4,0,0,0,4.6,93.6,20,1,0,N/A,N/A
Alliance Morgan McKinzie High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,312,14.7,1,0,0.3,0,93.3,0,0,0,5.4,96.8,16.3,2,0,397,395
Alliance Ouchi-O'Donovan 6-12 Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1003,18.2,0.1,0.2,6.4,0,92.4,0,0,0,0.9,95.1,20.9,1,0,422,436
Alliance Patti And Peter Neuwirth Leadership Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,630,14.4,0.2,0,5.4,0,94.1,0,0,0,0.3,95.4,18.6,2,0,387,382
Alliance Piera Barabaglia Shaheen Health Services Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,453,17.4,0,0.2,12.4,0.2,76.6,0.7,0,0,9.9,89.8,16.2,1,0.6,390,401
Alliance Renee and Meyer Luskin Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,554,15.9,0,0.2,19.5,0,80,0,0,0,0.4,94,18.5,2,0,379,360
Alliance Susan and Eric Smidt Technology High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,514,14.8,1.9,2.1,1.9,0.4,91.8,0,0,0,1.8,91.1,18.9,1,0.2,384,383
Alliance Ted K. Tajima High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,262,20.2,0,0.8,1.5,1.9,95,0,0,0,0.8,87.8,15.2,1,0.7,403,398
Alliance Tennenbaum Family Technology High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,408,12.5,0.5,2.5,0.5,3.4,90.7,0,0,0,2.5,90.7,22.5,2,0.2,415,402
Alpaugh Junior-Senior High (Alpaugh Unified),Tulare,Alpaugh Unified,High School,130,33.1,0,0.8,0,0,93.8,0,0,0,5.4,93.8,11.3,6,22,0,0
Alpha Cindy Avitia High (East Side Union High),Santa Clara,East Side Union High,High School,147,38.8,0.7,10.2,0,0,85,0,0,2.7,1.4,90.5,24.5,1,5.1,N/A,N/A
Alta Loma High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,2514,3.7,0.6,4.2,7.6,0.7,52.4,0.8,1.6,0.2,31.8,52.3,24.9,15,3.4,491,476
Alternatives in Action (Alameda Unified),Alameda,Alameda Unified,High School,165,53.3,0,0,5.5,0.6,92.7,0,0,0.6,0.6,93.3,19,3,4.5,365,359
Amador High (Amador County Unified),Amador,Amador County Unified,High School,645,0.5,2.5,0.8,0.2,0.5,17.2,0,6,1.9,71,39.5,24.4,11,8.3,529,519
Amador Valley High (Pleasanton Unified),Alameda,Pleasanton Unified,High School,2628,3.2,0.2,32.3,1.9,2.3,9.7,0.2,2.2,0,51.1,6,24.4,13,1.6,639,608
American Canyon High (Napa Valley Unified),Napa,Napa Valley Unified,High School,1582,6.4,0.2,5.2,10.8,29.2,35.2,1.1,5.1,0.5,12.7,36.4,21.2,7,5.4,467,464
American High (Fremont Unified),Alameda,Fremont Unified,High School,2093,6.4,0.3,54.2,4.7,11.1,10.9,0.8,2.2,0,15.8,21.8,24.2,10,4.2,610,576
American Indian Public High (Oakland Unified),Alameda,Oakland Unified,High School,229,9.6,0,62.4,15.3,0.9,18.3,0,1.3,0,1.7,85.2,18.6,4,1.3,589,534
Anaheim High (Anaheim Union High),Orange,Anaheim Union High,High School,3164,24.9,0.3,1.3,0.5,0.8,94.4,0.1,0.4,0,2.1,83.4,26.9,13,4.3,454,445
Anahuacalmecac International University Preparatory of North America (SBE - Anahuacalmecac International University Preparatory of North America),Los Angeles,SBE - Anahuacalmecac International University Preparatory of North America,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A
Analy High (West Sonoma County Union High),Sonoma,West Sonoma County Union High,High School,1273,2.4,0.4,3.1,1.4,0.5,16.7,0.2,3,0,74.6,16.2,21.2,15,4.1,563,553
Anderson High (Anderson Union High),Shasta,Anderson Union High,High School,611,2.9,7.4,3.4,3.1,0.7,22.1,0.7,0.3,0,62.4,59.6,21.4,15,6.5,474,456
Anderson New Technology High (Anderson Union High),Shasta,Anderson Union High,High School,213,0.5,7,2.3,0.9,0.5,8.5,0,4.2,0.5,76.1,52.1,19,9,2.9,0,0
Anderson Valley Junior-Senior High (Anderson Valley Unified),Mendocino,Anderson Valley Unified,High School,232,19,0,0,0.4,0,75,0,0.4,0,24.1,79.7,12.1,11,11.6,511,497
Anderson W. Clark Magnet High (Glendale Unified),Los Angeles,Glendale Unified,High School,1103,9.2,0,5.1,0.2,6.5,7.9,0.1,0.4,0,79.9,53.3,26.4,18,4,566,535
Andrew P. Hill High (East Side Union High),Santa Clara,East Side Union High,High School,1934,23.1,0.2,33.2,2,2.8,58.9,0.5,0.3,0,2.2,63.4,21.8,13,3.5,508,469
Angelo Rodriguez High (Fairfield-Suisun Unified),Solano,Fairfield-Suisun Unified,High School,1820,2.9,0.7,6.3,19,14.7,25.2,0.7,8.9,0.1,24.5,32.3,24.5,11,5.9,487,479
Animo College Preparatory Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,533,27.8,0.6,0,12.6,0,85.2,0,0.2,1.5,0,93.6,22.2,3,22.4,357,358
Animo Inglewood Charter High (Inglewood Unified),Los Angeles,Inglewood Unified,High School,642,12.3,0,0.2,11.1,0,87.9,0,0.8,0.2,0,91.3,22.1,4,3.6,494,458
Animo Jackie Robinson High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,612,17.6,0,0,2.6,0,95.6,0,0,1.8,0,97.7,21.1,4,2.1,381,375
Animo Leadership High (Lennox),Los Angeles,Lennox,High School,638,14.1,0,0.3,0.9,0,97.5,0,0,0.3,0.9,93.6,22.8,5,3.5,421,418
Animo Pat Brown (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,617,13.1,0,0,1.1,0,98.4,0,0,0.3,0.2,98.1,20.6,4,4.8,423,400
Animo Ralph Bunche Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,618,20.1,0.2,0,0.5,0,99,0,0,0.2,0.2,97.2,22.1,4,9.4,390,393
Animo South Los Angeles Charter (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,622,13.3,0.2,0.2,26.5,0,61.6,0.3,0,11.3,0,90.5,22.2,4,7.8,367,367
Animo Venice Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,599,14.4,0,0,3.5,0.3,89.3,0,1,4.7,1.2,87.3,22.2,5,8.2,423,417
Ann Sobrato High (Morgan Hill Unified),Santa Clara,Morgan Hill Unified,High School,1477,5.9,0.7,12.5,3.2,2.8,40.6,0.6,1.6,0.7,37.2,31,23.2,8,4.6,530,518
Antelope High (Roseville Joint Union High),Placer,Roseville Joint Union High,High School,1832,6.3,0.3,11.6,8.8,2,19.4,1.4,7.1,0.8,48.5,45.4,24,7,5.9,476,465
Antelope Valley High (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,1821,15.5,0.6,0.2,33.3,0.9,54.6,0.1,3.3,0,7,81.3,21.4,8,14.9,398,400
Antioch High (Antioch Unified),Contra Costa,Antioch Unified,High School,1798,13.7,0.8,2.2,22.1,3,49,1.1,2.6,0,19.2,70.9,25.5,10,9.7,432,431
Anzar High (Aromas/San Juan Unified),San Benito,Aromas/San Juan Unified,High School,361,7.5,0.6,1.4,0.8,0.3,66.8,0,2.5,0,27.7,54.8,19.9,7,2.9,469,480
APEX Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,436,20.9,0.2,0.2,3.4,1.6,91.1,0,0.7,0.7,2.1,97.5,19.7,3,1.7,358,365
Apple Valley High (Apple Valley Unified),San Bernardino,Apple Valley Unified,High School,2218,5.7,0.5,2.4,9,0.6,42.3,0.3,1,0.1,43.8,56.8,24.2,12,6.8,490,473
Applied Technology Center (Montebello Unified),Los Angeles,Montebello Unified,High School,565,11.5,0.2,0.4,0.5,0.9,92.7,0,0.4,0.7,4.2,83.5,21.9,8,5.5,414,418
Aptos High (Pajaro Valley Unified),Santa Cruz,Pajaro Valley Unified,High School,1409,8.5,0.2,2.3,0.8,1.7,37.8,0.1,0.6,0,56.6,31.9,25.6,11,0,542,531
Aragon High (San Mateo Union High),San Mateo,San Mateo Union High,High School,1473,5.1,0.3,24.4,1.2,6,26.1,3.3,11.3,0,27.6,13.4,21,9,0.6,614,590
Arcadia High (Arcadia Unified),Los Angeles,Arcadia Unified,High School,3424,7.6,0.2,65.2,1.8,3.6,14.7,0.1,1.1,0.1,13.2,23,24,14,0,634,584
Arcata High (Northern Humboldt Union High),Humboldt,Northern Humboldt Union High,High School,855,1.4,2.3,1.8,1.2,0,10.5,0.2,8.1,0.2,75.7,31,20.2,14,7.3,568,557
"Architecture, Construction & Engineering Charter High (ACE) (Oxnard Union High)",Ventura,Oxnard Union High,High School,186,2.7,0,1.1,7.5,0.5,40.3,0.5,4.3,0,45.7,53.2,16.9,2,0.5,0,0
Argonaut High (Amador County Unified),Amador,Amador County Unified,High School,498,0.4,2.8,0.6,0.2,1,21.7,0.6,5.2,2.2,65.7,37.3,23.9,10,12.3,518,498
ARISE High (Oakland Unified),Alameda,Oakland Unified,High School,263,35.7,0.4,1.5,1.5,1.1,93.5,0,0,1.9,0,93.5,19.9,2,4.4,379,394
Arleta High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1436,12.8,0.1,0.6,1.1,1,94.8,0.1,0.1,0.1,2,85,20.1,14,0.1,410,392
Arlington High (Riverside Unified),Riverside,Riverside Unified,High School,1928,14.5,0.2,2.4,6.1,0.9,69.9,0.7,0.8,0.7,18.4,69.1,23.1,15,5.6,441,438
Armijo High (Fairfield-Suisun Unified),Solano,Fairfield-Suisun Unified,High School,2391,8.1,0.9,5.9,15.2,10.3,42.2,0.9,7.9,0,16.8,56.4,23.6,10,10.9,522,488
Arnold O. Beckman High (Tustin Unified),Orange,Tustin Unified,High School,2847,8.4,0.3,36.2,2,2.9,25.2,0.2,2.7,0.8,29.7,23.5,27,10,1.4,605,586
Arroyo Grande High (Lucia Mar Unified),San Luis Obispo,Lucia Mar Unified,High School,2205,5.9,0.5,2.4,0.6,1.3,32.4,0.3,2.9,0,59.5,39.4,21.4,12,5.1,536,521
Arroyo High (El Monte Union High),Los Angeles,El Monte Union High,High School,2228,10.9,0.1,25.4,0.2,1,69.9,0,0.4,0,2.9,86.2,22.3,13,4.6,485,459
Arroyo High (San Lorenzo Unified),Alameda,San Lorenzo Unified,High School,1839,6.1,0.5,19.7,8,12.1,44,1.1,1.8,0.1,12.5,50.2,22.5,14,3.5,507,477
Arroyo Paseo Charter High (San Diego Unified),San Diego,San Diego Unified,High School,124,37.1,0,4.8,11.3,0,77.4,0,0.8,1.6,4,96.8,10.3,3,10.4,0,0
Arroyo Valley High (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,2617,18.9,0.4,1,7,0.2,86.9,1,0.2,1.1,2.2,87.6,24.2,11,9.4,431,413
Artesia High (ABC Unified),Los Angeles,ABC Unified,High School,1549,15.2,0.3,4.7,9.4,6.9,72.4,0.6,0.6,0.4,4.7,75.7,22.1,12,9.4,472,435
Arthur A. Benjamin Health Professions High (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,214,13.6,0,10.3,24.8,0.5,49.5,4.7,1.9,0,8.4,79.9,14.4,10,16.3,461,448
Arvin High (Kern High),Kern,Kern High,High School,2512,24.2,0.1,0.2,0.2,0.1,94.6,0,0,2.4,2.4,87.7,25.5,10,7.8,423,422
Aspire Benjamin Holt College Preparatory Academy (Lodi Unified),San Joaquin,Lodi Unified,High School,730,2.5,0.5,18.6,5.2,4.5,38.5,0.7,4.5,0,27.4,34.1,31.3,5,4,499,480
Aspire California College Preparatory Academy (Alameda County Office of Education),Alameda,Alameda County Office of Education,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aspire Golden State College Preparatory Academy (Oakland Unified),Alameda,Oakland Unified,High School,578,30.1,0.3,0,13.3,0.3,77.3,0,0.2,8.3,0.2,88.6,20.6,2,9.9,370,368
Aspire Langston Hughes Academy (Stockton Unified),San Joaquin,Stockton Unified,High School,714,7.7,0.7,7.6,18.3,2,60.9,0.1,2.8,1.7,5.9,76.9,23.3,4,7.7,401,396
Aspire Lionel Wilson College Preparatory Academy (Oakland Unified),Alameda,Oakland Unified,High School,531,26,0.2,0.8,5.5,0,92.1,0.4,0,0.9,0.2,91.3,23.1,3,4.9,428,432
Atascadero High (Atascadero Unified),San Luis Obispo,Atascadero Unified,High School,1331,4.9,1.1,1.6,1.6,1.1,28,0.4,1.1,0.2,65,28.5,20.8,15,5,511,514
Atwater High (Merced Union High),Merced,Merced Union High,High School,1885,8.6,0.4,3.9,2.4,0.5,73.7,0.2,0.3,0.1,18.4,82.2,21.6,11,3.7,428,419
Audeo Charter (San Diego Unified),San Diego,San Diego Unified,High School,761,10.8,0.3,2.1,9.6,0.8,52.7,0.7,1.2,0.1,32.6,65.8,28.2,5,0.1,0,0
Augustus F. Hawkins High A Critical Design and Gaming (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,532,22.9,0.4,0,13.7,0,85.3,0,0,0.2,0.4,88.9,20,10,0.8,369,350
Augustus F. Hawkins High B Community Health Advocates (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,454,30.8,0.2,0,15.6,0.2,82.2,0,0.2,0.7,0.9,88.5,17.2,10,0.6,355,380
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,466,25.5,0.2,0.2,29.8,0,68.2,0,0.4,0.4,0.6,88.2,21.1,11,2,353,338
Avenal High (Reef-Sunset Unified),Kings,Reef-Sunset Unified,High School,642,32.2,0,0.3,0,0,96.7,0,0,0,3,88,22.9,9,7.2,383,400
Aveson Global Leadership Academy (Pasadena Unified),Los Angeles,Pasadena Unified,High School,414,2.9,1.4,3.1,13.8,0.7,35.5,1,0.5,0,44,32.1,23.8,3,4.8,474,500
Azusa High (Azusa Unified),Los Angeles,Azusa Unified,High School,1289,19,0.4,1.2,1.4,1.6,91.5,0,0.4,0,3.5,74.9,20.4,12,0.2,451,424
B. Roberto Cruz Leadership Academy (East Side Union High),Santa Clara,East Side Union High,High School,81,51.9,0,0,0,0,97.5,0,1.2,0,1.2,96.3,12.6,1,3.8,N/A,N/A
Baker High (Baker Valley Unified),San Bernardino,Baker Valley Unified,High School,38,52.6,0,0,0,0,84.2,0,0,0,15.8,94.7,6.3,5,0,0,0
Bakersfield High (Kern High),Kern,Kern High,High School,2843,9.3,0.7,0.8,13.4,1.3,60.7,0.1,0.8,3.2,19,67.7,25.7,12,11.4,483,467
Balboa High (San Francisco Unified),San Francisco,San Francisco Unified,High School,1260,15.4,0.3,39.1,6.8,10.6,32.9,2.7,1,2.5,4.1,68.7,17,12,1.7,510,459
Baldwin Park High (Baldwin Park Unified),Los Angeles,Baldwin Park Unified,High School,1979,10.6,0.2,4.5,0.6,1.5,92.3,0.1,0,0,0.8,85.6,24,4,4.6,486,456
Banning Academies of Creative and Innovative Sciences (BACIS) (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,542,16.6,0.6,0,1.5,0.6,94.1,0.2,0.6,0.4,2.2,84.5,18.7,12,0.9,N/A,N/A
Banning High (Banning Unified),Riverside,Banning Unified,High School,1111,11.2,3.3,6.6,10.3,1.2,64.9,0.1,1.5,0,12.2,82.6,24.6,9,8,424,422
Barstow High (Barstow Unified),San Bernardino,Barstow Unified,High School,1401,9.4,1.6,1.3,16.5,0.9,53,1.7,3.3,0,21.8,69.7,21.3,7,10.5,481,452
Bassett Senior High (Bassett Unified),Los Angeles,Bassett Unified,High School,1069,16.6,0.2,3.1,0.5,0.7,93.6,0.1,0.4,0,1.4,84.6,23.8,13,3.1,438,435
Bay Area Technology (Oakland Unified),Alameda,Oakland Unified,High School,284,20.4,0,2.1,40.1,0.4,44.7,0.7,1.4,0,10.6,96.1,18.9,3,4.3,397,384
be.tech (Manteca Unified),San Joaquin,Manteca Unified,High School,208,10.1,1.9,1.9,3.8,3.8,45.7,1.4,1.4,0,39.9,49.5,12.2,12,6.6,N/A,N/A
Bear Creek High (Lodi Unified),San Joaquin,Lodi Unified,High School,1975,9.7,0.4,18.9,15,12.4,33,1.5,0.9,1.7,16.3,59.7,21,12,6.1,489,456
Bear River High (Nevada Joint Union High),Nevada,Nevada Joint Union High,High School,696,0.6,1.3,0.1,0.3,0.3,9.5,0.1,3.3,0,85.1,22.4,23.2,14,6.8,524,517
Beaumont Senior High (Beaumont Unified),Riverside,Beaumont Unified,High School,2562,7.5,1.3,3,5.9,3.3,49.6,0.4,2.3,0.1,34.2,58.1,26.5,8,4.1,474,459
Bell Gardens High (Montebello Unified),Los Angeles,Montebello Unified,High School,3043,18.7,0.1,0,0,0,99.2,0,0.1,0,0.4,92.1,26.2,16,4.6,432,425
Bell Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,3049,13.7,0,0.1,0.2,0.1,96.9,0,0,0.3,2.4,89.4,20.5,17,0.4,428,417
Bella Vista High (San Juan Unified),Sacramento,San Juan Unified,High School,2065,1.9,1,4.4,3.6,1.5,15.1,1,0.6,0,72.8,24.3,24.9,11,5.2,559,526
Bellflower High (Bellflower Unified),Los Angeles,Bellflower Unified,High School,2658,16.8,0.6,2.6,11.9,3.8,75,0.7,1.1,0,4.3,79.1,20.8,12,13.5,475,441
Belmont Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,960,32.9,0,2.7,2.7,3.4,85.8,0,1.3,0.3,3.8,86.1,18.7,17,1.3,408,390
Benicia High (Benicia Unified),Solano,Benicia Unified,High School,1664,1.6,0.2,5.5,8.5,9.1,17,0.4,11.2,1.2,46.9,17.8,21.8,11,7.7,563,530
Benjamin Franklin Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1415,11.9,0.6,2,1,3.4,90.7,0,0.3,0.1,2,85.7,22.2,17,0.7,451,430
Berkeley High (Berkeley Unified),Alameda,Berkeley Unified,High School,3113,6.2,0.4,8.6,18.5,0.9,21.4,0.2,10.5,0,39.5,27.7,17.3,9,1.3,568,563
Bert Corona Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,64,4.7,0,1.6,1.6,0,93.8,0,0,3.1,0,89.1,21.3,4,3.8,N/A,N/A
Beverly Hills High (Beverly Hills Unified),Los Angeles,Beverly Hills Unified,High School,1589,3.7,0.1,13.5,3.3,0.9,6.6,0.3,1.4,0,73.8,8.9,15.8,12,2.2,587,590
Big Bear High (Bear Valley Unified),San Bernardino,Bear Valley Unified,High School,700,10.7,0.7,1.1,1.7,0,35.6,0.1,2.1,0,58.6,59.7,21.3,16,5.4,488,461
Big Picture Educational Academy (Fresno County Office of Education),Fresno,Fresno County Office of Education,High School,119,18.5,0,1.7,14.3,0,73.1,0,0,0,10.9,72.3,10.7,3,0,0,0
Big Pine High (Big Pine Unified),Inyo,Big Pine Unified,High School,39,N/A,46.2,0,0,0,23.1,0,0,0,30.8,84.6,8,8,10.6,0,0
Big Valley Jr. Sr. High (Big Valley Joint Unified),Lassen,Big Valley Joint Unified,High School,86,4.7,4.7,0,0,0,14,0,0,0,81.4,53.5,11,5,9,0,0
Biggs High (Biggs Unified),Butte,Biggs Unified,High School,169,5.9,0.6,3.6,2.4,0,34.3,0,4.1,0,55,58.6,14,10,7.6,464,422
Birmingham Community Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,3278,10.7,0.2,1.7,4.4,2.6,82.6,0.1,1,0,7.4,84.5,24.4,6,2.5,434,429
Bishop Union High (Bishop Unified),Inyo,Bishop Unified,High School,598,5.5,12.5,1.8,0.2,0.2,36.3,0,5.2,2,41.8,46.2,23,11,9.4,490,461
Bitney College Preparatory High (Nevada County Office of Education),Nevada,Nevada County Office of Education,High School,92,1.1,0,2.2,6.5,0,3.3,0,0,1.1,87,56.5,13.2,9,10.8,438,484
Blair High (Pasadena Unified),Los Angeles,Pasadena Unified,High School,962,19.3,0.2,5.4,15.1,3.8,62.5,0.3,2.6,0.1,10,66.6,16.5,11,6.4,465,453
Bloomington High (Colton Joint Unified),San Bernardino,Colton Joint Unified,High School,1986,16.3,0.4,0.9,3.7,1.8,88.3,0.1,0.3,0,4.6,82.2,19.9,13,3.6,461,439
