School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Elsinore High (Lake Elsinore Unified),Riverside,Lake Elsinore Unified,High School,2041,4.8,1,1.9,5,2.4,51.3,0.4,1.6,0,36.3,61,22.9,13,5.8,482,462
Emery Secondary (Emery Unified),Alameda,Emery Unified,High School,174,4.6,0,11.5,60.3,1.1,17.8,1.1,1.7,0,6.3,71.3,14,5,6.5,451,424
Encinal High (Alameda Unified),Alameda,Alameda Unified,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Encore High School for the Arts - Riverside (Riverside Unified),Riverside,Riverside Unified,High School,413,0.5,0.7,3.1,18.9,0,35.8,0.7,1.5,0,39.2,32.2,25.8,2,0.4,N/A,N/A
Encore Jr./Sr. High School for the Performing and Visual Arts (Hesperia Unified),San Bernardino,Hesperia Unified,High School,1228,5.6,0.7,2.6,11.3,0.7,48.5,0.5,3.3,0,32.3,48.9,30,4,1,444,453
Engineering and Technology Academy at Esteban E. Torres High No. 3 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,413,19.4,0,0,0,0.2,99.8,0,0,0,0,87.4,19.4,17,3.1,393,359
Enterprise High (Shasta Union High),Shasta,Shasta Union High,High School,1220,2.9,3.6,7.5,3.9,0.9,19.9,0.3,2.9,2,59,42,21.7,11,8.5,523,495
Environmental and Social Policy Magnet (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,147,11.6,1.4,1.4,0,0,95.2,0,0.7,0,1.4,83,10.5,16,1.2,0,0
Environmental Charter High (Lawndale Elementary),Los Angeles,Lawndale Elementary,High School,515,8,0,2.5,10.9,1.7,75.7,0,0.4,4.7,4.1,80.4,18.1,4,2.3,443,460
Envision Academy for Arts & Technology (Alameda County Office of Education),Alameda,Alameda County Office of Education,High School,407,9.3,1.2,1.7,38.3,0.2,51.4,0.7,1.2,2,3.2,67.3,20.4,3,14.7,376,386
EPIC de Cesar Chavez (Nevada County Office of Education),Nevada,Nevada County Office of Education,High School,281,67.3,0.4,0.4,7.8,0,81.5,0,0.7,1.4,7.8,82.6,93.7,2,0,N/A,N/A
Erma Duncan Polytechnical High (Fresno Unified),Fresno,Fresno Unified,High School,986,12.2,0.5,26.3,3.4,0.4,64.1,0.2,0.7,0,4.4,90.3,16.1,14,2.3,406,395
Ernest Righetti High (Santa Maria Joint Union High),Santa Barbara,Santa Maria Joint Union High,High School,2139,13.4,0.8,2.6,2.3,1.6,61.6,0.4,1.9,1,27.8,50.7,21.9,14,5.1,496,474
"Ernest S. McBride, Sr. High (Long Beach Unified)",Los Angeles,Long Beach Unified,High School,565,1.4,0.2,6.9,11.5,4.1,40.5,0.4,3.2,3.7,29.6,39.8,22,11,2.6,N/A,N/A
Escalon High (Escalon Unified),San Joaquin,Escalon Unified,High School,839,7.3,0.4,1.8,0.8,0.7,46.5,0.5,1.7,0.4,47.3,43,22.1,7,8.4,500,489
Escondido Charter High (Escondido Union High),San Diego,Escondido Union High,High School,765,1.4,0.5,5,3.7,3.7,37,0.1,4.6,0.4,45.1,33.2,17.4,7,0.6,537,524
Escondido High (Escondido Union High),San Diego,Escondido Union High,High School,2415,15.4,0.3,3,3.3,2.7,71.9,0.1,0.2,0.5,18.1,70.1,22.9,11,6.3,476,463
"Escuela Popular/Center for Training and Careers, Family Learning (East Side Union High)",Santa Clara,East Side Union High,High School,812,98,0,0,0,0,99.8,0,0.1,0.1,0,46.8,62,6,0,N/A,N/A
Esparto High (Esparto Unified),Yolo,Esparto Unified,High School,274,20.4,1.5,0.4,0.7,0.7,67.5,0.4,1.5,0,27.4,55.1,19,9,7,453,439
Esperanza High (Placentia-Yorba Linda Unified),Orange,Placentia-Yorba Linda Unified,High School,1732,3,0.2,7.3,1.5,1.9,26.4,0.1,1.3,0.2,61.1,19.7,23.3,15,2.5,540,515
Estancia High (Newport-Mesa Unified),Orange,Newport-Mesa Unified,High School,1224,28.7,0.4,1.7,0.7,1.5,73.2,1.2,0.7,0,20.7,71.7,22,14,2.7,451,441
Esteban Torres East LA Performing Arts Magnet (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,382,14.4,0.5,0.5,1.3,0,95.3,0,0,0.5,1.8,91.1,16.4,14,0.7,384,389
Etiwanda High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,3498,2.1,0.1,6.2,15.7,4.7,50.9,0.4,3.7,0.4,17.9,41.7,26.3,13,3.3,487,466
Etna Union High (Scott Valley Unified),Siskiyou,Scott Valley Unified,High School,182,1.6,8.2,3.3,1.1,0,14.8,0.5,5.5,0,66.5,48.9,14,6,7,490,452
Eunice Sato Academy of Math & Science (Long Beach Unified),Los Angeles,Long Beach Unified,High School,121,1.7,0,19.8,6.6,9.1,31.4,0,2.5,5,25.6,40.5,16.1,11,0,N/A,N/A
Eureka Senior High (Eureka City Schools),Humboldt,Eureka City Schools,High School,1093,9.2,5.4,11.3,3,0.8,17.1,1,4.5,0,56.8,47.8,20.7,13,9.6,497,474
Everest Public High (Sequoia Union High),San Mateo,Sequoia Union High,High School,376,16,0,2.9,1.6,1.6,57.7,1.3,4.5,8.2,22.1,59.6,18.8,3,4.9,531,518
