"Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
1903,14.2,0.6,4,3.3,1.6,72.9,0.5,1.6,0.3,15.3,55.8,22.3,10,3.2,467,469,11075,57,16,11,1,0,0,5,10,72731
1697,10.1,0.4,5.1,4.1,2,54.1,0.6,0.9,0.6,32.1,37.5,22.4,10,4,512,499,11075,57,16,11,1,0,0,5,10,72731
1059,26.3,0.4,7.5,1.8,3.2,81.8,0.8,0.8,0,3.9,73,19.7,7,6.9,425,425,11075,57,16,11,1,0,0,5,10,72731
1574,5.3,0.4,13.5,3.1,2.9,33.6,0.5,1.8,0.2,43.9,28.9,21.6,11,4.7,544,526,11075,57,16,11,1,0,0,5,10,72731
1107,14,0.7,9.9,7.5,3.3,60.9,0,2.2,0.4,15.1,54.1,19.4,10,4.9,468,459,11075,57,16,11,1,0,0,5,10,72731
1807,2.9,0.3,44.4,1.5,0.8,9.6,0.5,2.2,0.4,40.3,10.3,24,11,1.2,635,614,11075,57,16,11,1,0,0,5,10,72731
1598,2.4,1,6.6,5.2,1.9,16.2,1.1,0.9,0.5,66.6,20.9,25.2,11,6.1,553,545,10052,63,16,7,1,0,0,5,9,75808
1262,1.3,2.5,1.7,2.9,1.5,12.8,0.4,0.1,0,78.2,31.1,22,14,11.4,504,485,10052,63,16,7,1,0,0,5,9,75808
2065,1.9,1,4.4,3.6,1.5,15.1,1,0.6,0,72.8,24.3,24.9,11,5.2,559,526,10052,63,16,7,1,0,0,5,9,75808
1777,3.5,1.1,3.5,8.3,1.8,17.8,1.7,0.5,0,65.2,44.4,22.1,11,14.2,500,482,10052,63,16,7,1,0,0,5,9,75808
939,6.8,1.4,2.7,6.7,1.7,29.3,0.6,0.4,0,57.2,64.7,20.1,13,19.4,452,460,10052,63,16,7,1,0,0,5,9,75808
696,13.8,0.9,2,12.2,0.6,36.2,1,0.1,0,47,73.1,17.9,7,13.1,417,401,10052,63,16,7,1,0,0,5,9,75808
1681,9,0.5,25.9,8.9,3.2,18.6,1.3,0.5,0.1,40.9,46.4,24.7,11,6.5,624,599,10052,63,16,7,1,0,0,5,9,75808
1531,7.1,1.2,3.8,10.3,0.8,24.8,1.4,0.4,0,57.3,45.5,24,10,10.9,502,482,10052,63,16,7,1,0,0,5,9,75808
2597,12.6,0.3,15.4,17.6,8.7,44.5,1.6,2.5,0.2,9.2,62,21.6,9,9.4,455,460,10851,63,13,6,1,0,1,6,9,86964
559,6.1,0.4,23.4,20.2,2.5,48.1,0.2,0,0,5.2,68.7,25.2,3,4.4,471,469,10578,61,14,7,1,0,0,6,10,79561
1839,6.1,0.5,19.7,8,12.1,44,1.1,1.8,0.1,12.5,50.2,22.5,14,3.5,507,477,10578,61,14,7,1,0,0,6,10,79561
1386,17.2,0.2,7.4,15.7,5.8,60.9,1.3,1.2,0.7,6.8,76.6,21.4,11,12,448,424,10578,61,14,7,1,0,0,6,10,79561
702,1.6,0.4,1.4,0.7,0.7,12.4,0.4,5.3,1,77.6,14.1,21.5,14,4.7,520,524,10493,59,11,10,1,0,0,8,11,67501
1395,9,0.1,4.7,1.1,0.6,25.6,0,4.9,0,62.9,27,21,11,5.9,566,548,11899,57,13,10,2,0,0,6,11,74065
860,5.6,0.6,2.7,1,4.7,21.6,0,3.7,0,65.7,37.7,20.7,11,4,528,498,11899,57,13,10,2,0,0,6,11,74065
2531,7.9,0.2,4,3,3.3,51.8,0.8,1.8,0.3,34.7,40.7,25.9,9,2.5,491,487,9108,66,10,7,1,2,0,4,9,71202
3048,9.1,0.5,5.8,2.8,3,40.9,0.9,1.1,0.2,44.9,30.4,26.6,9,3.7,511,498,9108,66,10,7,1,2,0,4,9,71202
1200,8.9,0,60.1,0.9,1,8,0.4,3,0.1,26.5,3.7,21,11,0.6,648,600,13063,57,9,8,1,1,0,10,15,79935
1615,18.1,0.2,22.8,1.3,4.5,42.1,2.5,7.4,0,19.3,27.9,20.6,9,3.6,574,554,16420,51,13,10,3,0,1,6,12,97915
1473,5.1,0.3,24.4,1.2,6,26.1,3.3,11.3,0,27.6,13.4,21,9,0.6,614,590,16420,51,13,10,3,0,1,6,12,97915
1198,8.9,0.1,48.4,0.2,10.9,17.1,2.2,7.2,0,14,14.3,21.1,11,1.5,607,573,16420,51,13,10,3,0,1,6,12,97915
1339,5,0.1,16,0.8,3.4,18.7,1,7.6,0,52.4,6,19.7,9,2.2,579,566,16420,51,13,10,3,0,1,6,12,97915
1127,23.1,0,10.9,0.8,9.1,47.6,4.9,7,0,19.8,21.2,18.3,7,1.9,507,489,16420,51,13,10,3,0,1,6,12,97915
1375,7.9,0.4,15.4,1.4,5.8,26,1.5,9.1,0,40.4,11.9,18.9,8,5.1,558,536,16420,51,13,10,3,0,1,6,12,97915
2348,0.5,0.3,16.4,0.9,2.4,7.9,0.2,6.1,0,65.9,2.3,22.7,11,1.2,603,582,9605,65,12,7,1,0,0,5,10,74569
2667,0.9,0.1,23.4,2.6,4.2,11.9,0.4,8.7,0,48.7,4.9,27.5,11,3.4,457,435,9605,65,12,7,1,0,0,5,10,74569
2103,0.4,0,6.5,0.8,1.7,8.7,0,5.4,0,76.8,1.9,22.5,11,1.9,589,560,9605,65,12,7,1,0,0,5,10,74569
2759,3.1,0.1,66.5,2.6,5.9,6.6,0.1,4.3,0,13.8,5.3,23.5,5,1.7,653,621,9605,65,12,7,1,0,0,5,10,74569
2852,7.7,0.4,13.1,1.4,0.5,71.2,0.2,0.7,0.2,12.3,75.4,23,9,7,450,434,10384,54,11,10,1,0,0,5,13,62712
1627,23.8,0.1,2.5,0.2,0.6,94.5,0.1,0.2,0,1.7,94,20.4,14,5.3,433,409,11831,64,11,7,1,0,0,7,9,90751
2433,6.5,0,6.9,0.5,0.5,89.7,0,0.7,0,1.6,88.9,25.8,13,4,482,465,11831,64,11,7,1,0,0,7,9,90751
2096,0.4,0.1,16.8,1,2.2,23.6,0.1,10.4,0,45.7,11.1,29.3,7,0.8,560,574,11831,64,11,7,1,0,0,7,9,90751
2622,12.3,0.2,1.1,0.2,0.1,97.6,0,0,0,0.8,95.5,25,12,3.5,456,435,11831,64,11,7,1,0,0,7,9,90751
2241,36.4,0.1,1.7,0.3,0.1,97.1,0.1,0.1,0,0.6,94.2,20.8,10,6.1,424,405,11831,64,11,7,1,0,0,7,9,90751
2800,24.3,0.1,0.2,0.3,0.2,98.5,0.1,0.2,0,0.5,96.1,24.4,14,1.6,414,397,11831,64,11,7,1,0,0,7,9,90751
1883,30.1,0.1,1.9,0.1,0.1,97.2,0.2,0.1,0,0.4,96.3,20,14,4.6,411,387,11831,64,11,7,1,0,0,7,9,90751
390,13.3,0,1.3,0.8,0,95.4,0,0.3,0.8,1.5,85.6,19.4,4,3.3,422,410,11831,64,11,7,1,0,0,7,9,90751
2188,13.2,1,2,1.4,0.5,56,0.2,0.2,0.1,38.5,39.9,23.8,11,4.6,539,517,10271,57,14,9,1,1,0,6,12,72860
2181,14.2,1.1,3.8,1.5,0.7,53.8,0,0,0,39,39.2,22.9,11,3.7,532,512,10271,57,14,9,1,1,0,6,12,72860
2130,8.7,0.7,8.6,1.6,1.5,43.5,0.2,0.1,0,43.8,28.1,22.9,11,3,561,528,10271,57,14,9,1,1,0,6,12,72860
1971,11.2,0.9,16.6,5,11.7,34.6,0.6,4,0.4,26.2,41.5,23.6,7,7.2,521,509,12267,64,15,7,0,0,0,5,9,93378
1977,11.9,0.4,27,2.4,6.5,37.1,0.7,3.5,0.3,22.2,41.6,23,8,2.9,538,514,12267,64,15,7,0,0,0,5,9,93378
2694,23.9,0,0.6,0.9,3.7,89.3,0.1,0.7,0.2,4.4,73.6,23.4,11,2.9,469,444,11542,59,12,10,3,0,0,5,11,82132
2695,37.1,0.1,0.2,0.6,1.3,94.1,0,0.2,0.2,3.2,85.5,19.4,11,5.9,460,430,11542,59,12,10,3,0,0,5,11,82132
2139,13.4,0.8,2.6,2.3,1.6,61.6,0.4,1.9,1,27.8,50.7,21.9,14,5.1,496,474,11542,59,12,10,3,0,0,5,11,82132
1106,1.9,0.4,2.7,1.8,0.5,12.2,0.5,4.2,0,77.8,11.6,20.1,11,2.5,541,547,13196,61,11,9,1,1,0,6,10,80428
2950,4.3,0.1,6.8,9.4,1.2,36.3,0.1,6.8,0.9,38.3,28.7,21.7,11,3.5,541,528,13196,61,11,9,1,1,0,6,10,80428
1588,17.3,0,0.1,0.1,0.1,95.1,0.1,0.1,0,4.3,76.6,23.4,10,4.2,434,430,11105,60,13,7,1,0,0,6,12,71208
966,4.8,1.3,0.7,0.3,0,41.1,0,3.6,0,52.9,22.8,18.6,11,1.6,533,526,11848,47,9,7,4,0,0,11,16,74774
182,1.6,8.2,3.3,1.1,0,14.8,0.5,5.5,0,66.5,48.9,14,6,7,490,452,12923,53,13,8,4,0,0,7,12,54933
412,10.4,0.2,5.6,1.2,1.7,57.3,1,4.6,7.3,21.1,55.3,20.6,3,6.7,505,512,15616,56,12,12,1,0,0,7,11,94414
2147,4.3,0.6,18.5,2,3.3,18.2,1.6,6.2,0,49.6,10.7,21,11,3.3,598,571,15616,56,12,12,1,0,0,7,11,94414
2275,14,0.5,4.7,4,0.7,42.7,3.9,3.3,0,40.3,33.2,19.4,10,5.1,589,580,15616,56,12,12,1,0,0,7,11,94414
376,16,0,2.9,1.6,1.6,57.7,1.3,4.5,8.2,22.1,59.6,18.8,3,4.9,531,518,15616,56,12,12,1,0,0,7,11,94414
2143,21.2,0.2,3.1,1.3,1.5,59.4,2.2,2.9,0,29.4,41.7,18.7,9,4.5,547,530,15616,56,12,12,1,0,0,7,11,94414
1781,13.6,0.3,2.5,2,1.1,55.6,1.3,2.4,2.2,32.5,41.3,17.2,11,4.1,519,515,15616,56,12,12,1,0,0,7,11,94414
1454,0.7,3.8,3.6,2.8,1.1,13.8,0.3,1.5,0.4,72.7,31.4,22.2,11,3.7,549,539,11756,57,9,12,2,0,0,7,13,70471
1220,2.9,3.6,7.5,3.9,0.9,19.9,0.3,2.9,2,59,42,21.7,11,8.5,523,495,11756,57,9,12,2,0,0,7,13,70471
967,0.4,0.4,5.2,0.4,0.3,10.2,0.2,10.9,0.5,71.9,14.6,28.5,9,2.9,500,492,11756,57,9,12,2,0,0,7,13,70471
1275,0.6,3.4,1.6,0.7,0.5,10.5,0.2,3.3,1.1,78.6,24,23,12,4,550,540,11756,57,9,12,2,0,0,7,13,70471
1403,5.1,1.1,2.3,6.3,1.8,25.4,1.1,1.4,0,60.7,37.3,24.1,13,2.4,512,506,9727,60,11,9,1,0,0,6,13,61782
458,1.1,14,1.1,1.1,0.7,11.8,0,0.2,0.4,70.7,34.7,20.8,14,11.3,521,518,11402,58,6,14,0,0,0,7,14,64109
378,2.9,1.1,2.4,15.9,2.4,34.9,1.9,3.2,0,38.4,45,14,11,2,486,465,16341,55,14,11,0,0,0,9,11,67698
1988,4.6,0.4,5,1.4,1.8,38.1,0.2,2.4,0,50.8,29.8,25,16,3.9,526,496,9445,62,11,8,1,0,0,5,12,75679
1271,1,0.4,10.7,1.2,3.8,27.1,0.1,4.2,0.1,52.5,17.2,25.3,11,1.4,562,555,9445,62,11,8,1,0,0,5,12,75679
2182,2.2,0.5,7,0.8,2.5,28.5,0.2,3,0.3,57.2,22.5,25.8,12,2.6,552,522,9445,62,11,8,1,0,0,5,12,75679
2231,5.1,0.4,3.3,6,0.6,41.3,0.6,0.5,3,44.4,57.8,21.9,10,7.6,505,476,9521,56,9,9,0,0,0,6,17,73029
1429,23.7,0.2,0.5,0.5,1.1,94.3,0.1,0.4,0,2.8,71,22.4,6,5.3,432,433,10492,56,13,8,1,0,0,8,11,67532
1296,8.2,0.4,2.2,0.5,0.7,53.9,0.2,0.6,0.4,41.1,49.4,18.5,9,10.1,494,486,12196,68,11,8,1,0,0,5,7,62595
940,0.9,1.8,1.2,0.7,0.9,17.9,0.7,3.1,0.1,73.6,37.8,20.9,11,1.3,539,516,13063,45,12,17,3,0,0,8,12,68625
1528,3.7,0.5,35.9,2.6,3,24.7,0.1,3.5,0.4,29.2,15.4,22.4,12,2.5,606,581,10066,66,11,6,1,0,0,6,10,82929
1387,8.4,0.1,10.5,1.4,37.9,33.2,0.9,6.7,0,9.2,24.5,25.8,12,5.2,507,488,9136,60,11,10,0,0,0,5,9,68716
1363,13.5,0.1,8.7,1.2,20,56.8,3.1,5.6,0.1,4.4,43.2,22.6,6,15.2,497,472,9136,60,11,10,0,0,0,5,9,68716
759,8.2,1.6,1.1,10,1.4,52.2,0.5,0.8,1.7,30.7,62.8,18.1,7,10.6,440,430,11092,58,13,7,2,0,0,6,13,65374
210,3.8,1.4,7.1,7.6,1.4,64.3,1,4.3,0,12.9,69,28,11,2.3,489,469,11268,62,13,8,0,0,0,4,12,68852
714,7.7,0.7,7.6,18.3,2,60.9,0.1,2.8,1.7,5.9,76.9,23.3,4,7.7,401,396,11268,62,13,8,0,0,0,4,12,68852
1466,12.6,5,7.4,17.1,2.8,51.7,0.9,1.7,0,13.5,58.5,25.1,15,19.5,423,412,11268,62,13,8,0,0,0,4,12,68852
2177,15.2,2.9,18.6,16.1,7.1,48.6,0.8,1,0,4.9,75.3,26.3,10,7,431,428,11268,62,13,8,0,0,0,4,12,68852
466,12.4,1.7,13.1,7.7,4.5,64.6,1.7,0.9,0,5.8,75.8,29,9,1.3,422,432,11268,62,13,8,0,0,0,4,12,68852
1995,24.4,3.3,8.5,11.2,12.9,60.6,0.3,0.7,0,2.7,90.7,25.6,11,11.6,562,549,11268,62,13,8,0,0,0,4,12,68852
2115,22.5,3,4.8,6.9,1.3,77,0.5,0.5,0,6.1,80.9,23,15,4.5,530,506,11268,62,13,8,0,0,0,4,12,68852
479,4.6,0.4,6.7,7.1,5.6,58.9,0.8,5,0.6,14.8,54.3,21.3,3,0,490,522,11268,62,13,8,0,0,0,4,12,68852
375,1.3,1.9,32.8,3.5,16,37.9,1.3,0.8,0,5.9,61.6,38.2,10,0,556,493,11268,62,13,8,0,0,0,4,12,68852
723,3.9,1.9,2.5,0.4,0.4,23.8,0,5.1,0,65.8,29,22.7,14,3.7,503,481,9586,54,11,13,0,0,0,7,15,65212
1814,37.9,0.2,0.2,1.8,1.8,93.7,0,1.1,0,1.2,75.8,23,11,3.9,436,418,11229,59,15,9,1,0,0,7,8,83046
1533,32.1,0.1,0.6,2.2,2.2,90.9,0.1,2.2,0,1.9,78.5,22,11,2.9,451,420,11229,59,15,9,1,0,0,7,8,83046
2698,24.2,0.3,0.3,1.4,13.1,81.2,0.4,2.1,0,1.1,79.8,25,13,4,458,440,11229,59,15,9,1,0,0,7,8,83046
3113,7,0.2,2.8,4.1,13.8,56.8,0.2,9.2,0,13,19.2,26.3,11,1.7,511,487,11229,59,15,9,1,0,0,7,8,83046
2598,24.6,0.2,0.6,1.6,1.7,89.9,0.3,2.5,0,3.2,73.4,24.8,12,5,466,438,11229,59,15,9,1,0,0,7,8,83046
2519,5.2,0,2.3,6.5,21,53.6,0.5,8.8,0,7.3,27.4,27,9,3.8,500,483,11229,59,15,9,1,0,0,7,8,83046
1656,19.9,0.2,0.3,1.9,4.2,76.1,0.4,6.2,0.2,10.4,65.3,25,14,3.7,472,447,11229,59,15,9,1,0,0,7,8,83046
2581,10.3,0.1,3.1,4,16.1,64.5,0.8,6.4,0,4.9,33.4,24.6,14,3.9,492,468,11229,59,15,9,1,0,0,7,8,83046
1684,24.3,0.1,0.3,1.4,6.7,87.6,0.2,2.6,0,1.2,64.3,22,13,7.6,448,423,11229,59,15,9,1,0,0,7,8,83046
2496,6.8,0.2,2.3,3.1,7.8,67.7,0.4,7,0,11.5,30.3,25.3,13,2.7,508,480,11229,59,15,9,1,0,0,7,8,83046
2200,12.3,0.1,0.6,1.2,1.5,85.3,0.2,3.5,0,7.5,54.8,25.5,13,5,474,451,11229,59,15,9,1,0,0,7,8,83046
2456,42.1,0.8,0.3,1.4,2,94,0,0.8,0,0.7,73.4,23.5,8,3.8,456,432,11229,59,15,9,1,0,0,7,8,83046
980,6.4,2,0.4,0.9,0,41,1.2,2,0.1,52.2,59.2,15.4,11,4.2,459,444,24431,38,8,9,3,0,0,4,21,88926
362,8.6,0.6,0,0.3,0.6,40.3,0,1.9,0.6,55.8,46.1,15.4,11,4.6,513,512,15343,57,13,11,1,0,0,6,10,80047
697,9.9,0.7,0.6,0.6,0,33.7,0,2.2,0,62.3,31.3,16.8,12,2.6,524,519,15343,57,13,11,1,0,0,6,10,80047
1419,2,0.6,7.5,4.5,1.3,8.9,0.3,2.3,5.6,69.1,8.6,19.1,10,3.6,572,572,16978,56,9,9,3,0,0,7,13,96948
1770,1,0.3,5.9,1.2,0.7,10.5,0.5,3.3,3.4,74.2,4.4,25.8,11,4.3,485,475,16978,56,9,9,3,0,0,7,13,96948
1077,1.2,0.2,3.2,2,0.3,10.7,0.5,1.7,4.3,77.3,6.8,18.2,13,1.6,560,559,16978,56,9,9,3,0,0,7,13,96948
1272,4.9,0.6,1.4,1.8,0.5,29.1,0,1.1,0,65.6,27.1,22.2,13,4.7,514,490,9539,57,10,12,1,0,0,7,11,64252
2728,3.6,0.9,2.6,3.7,4.5,30.1,0.1,5.7,0.8,51.5,22.2,25.6,15,1.2,497,491,9509,68,9,8,0,0,1,5,9,86242
3163,3.3,0.7,3.6,5.4,7.4,37.2,0.4,6.9,0.2,38.3,23.8,25.5,12,4.3,493,479,9509,68,9,8,0,0,1,5,9,86242
3473,1.2,1.8,5.6,3.6,5.8,27,0.4,9,0.2,46.6,13.4,25.6,10,2,532,516,9509,68,9,8,0,0,1,5,9,86242
742,1.8,0.4,2,0.4,0.3,19,0.3,4.2,0.9,72.5,9.6,21,9,3.2,524,517,9481,65,8,6,1,0,0,7,10,65305
2078,7,0.2,36.4,3.7,5.7,18.6,0.3,6.7,1.3,27,22,23.1,12,4.6,600,553,9562,66,10,7,1,0,0,6,8,75542
2110,6.8,0.3,30.7,2.4,3.5,15.5,0.5,6,1.8,39.3,16.1,22,13,13.5,580,540,9562,66,10,7,1,0,0,6,8,75542
2071,8,0.4,18.2,3.8,12.2,38.5,0.7,5.3,1.9,18.9,35.2,24.4,12,2.8,522,488,9562,66,10,7,1,0,0,6,8,75542
1901,9,0.3,24.7,8.7,4.6,40.4,0.9,6,0.9,13.4,45.3,22.2,11,14.7,437,432,9562,66,10,7,1,0,0,6,8,75542
1622,9.4,0.4,15,7.5,11.8,32.3,0.7,5.3,0,26.8,30.5,25.1,10,9.8,522,507,8913,61,14,7,1,0,0,4,11,73984
2099,17.4,0.6,10.3,7.9,6.3,52.9,1.3,3.3,0,17.3,49.3,23.5,13,21.9,483,458,8913,61,14,7,1,0,0,4,11,73984
2121,10.6,0.2,9.9,5.6,4,42,0.4,3.6,0,34.3,32,25.6,14,13.1,518,517,8913,61,14,7,1,0,0,4,11,73984
510,6.3,0.6,9.4,7.1,3.1,49,0.2,3.1,0,27.5,18.2,19.8,7,9.1,502,495,8913,61,14,7,1,0,0,4,11,73984
1655,2.2,0.4,5.9,15.1,13,22.3,1.2,7.9,0.1,34,24.5,22.9,11,4.7,490,478,9528,59,11,10,1,0,0,8,10,69521
318,0.9,4.4,0.9,0.3,0.3,7.5,0,12.3,0.6,73.6,60.7,19.1,11,8.3,507,481,12545,64,9,7,2,0,0,6,11,65848
1464,18.9,0.6,1.4,2.3,0.3,74,0.1,0.3,0.3,20.6,67,24.4,13,2.6,460,436,10731,56,9,11,2,0,0,7,13,76801
1853,17.7,0.4,1.3,3.7,0.3,75.8,0.2,0.3,0.7,17.5,73.7,24.5,12,5.1,463,439,10731,56,9,11,2,0,0,7,13,76801
1740,14,1,1.3,4.3,0.5,69.6,0.2,0.3,0.3,22.4,70.6,22.1,14,3.7,460,436,10731,56,9,11,2,0,0,7,13,76801
221,36.2,0,0,0,0,67.4,0,1.8,0.9,29.9,72.9,14.3,9,15.9,461,470,13585,56,8,6,5,0,0,10,14,70876
2198,17,0.9,3,2,0,55.7,0.4,1.3,1,35.6,60.4,22,13,6.7,497,477,9125,65,12,5,1,0,0,4,10,78537
2185,13.9,0.6,8.2,2.5,1.3,49.7,0.8,1.3,0.5,35.1,52,23.8,11,5.4,489,482,9125,65,12,5,1,0,0,4,10,78537
2510,4.9,0.3,6,1,1.5,41.8,0.2,1.8,0.2,47.3,27.4,25.1,12,2.3,537,509,8908,63,11,8,1,0,0,5,11,82661
2287,16.9,0.2,4.8,3,2.4,76.6,0.8,1,0.2,11,68.6,25.1,10,4.3,464,448,8908,63,11,8,1,0,0,5,11,82661
2847,8.4,0.3,36.2,2,2.9,25.2,0.2,2.7,0.8,29.7,23.5,27,10,1.4,605,586,8908,63,11,8,1,0,0,5,11,82661
1058,12.9,0.5,4.4,19.2,2.1,37.1,1.6,3.2,0.9,31.1,72.7,20,14,8.9,450,444,10902,60,12,9,1,0,0,8,10,73962
424,30.2,0,3.1,0.5,0,0.7,0,0.5,0,95.3,82.3,21.2,4,15,508,543,10902,60,12,9,1,0,0,8,10,73962
808,14.5,1.5,4.2,13.5,1.7,47.6,1.2,5,0.6,24.6,78.6,20.3,13,15.2,437,422,10902,60,12,9,1,0,0,8,10,73962
1916,21.6,0.5,17,20.7,0.8,48.3,3,2.6,1.1,6,79.5,22.1,12,10.4,399,392,10902,60,12,9,1,0,0,8,10,73962
1738,14.3,0.7,14,7.7,1.7,39,2.2,2.1,1.6,31,76.8,20.2,14,11.4,471,429,10902,60,12,9,1,0,0,8,10,73962
1594,13.2,5.3,1.4,1.2,0.6,45.9,0.1,1.8,0,43.8,60.1,21.5,10,5.4,518,488,11514,62,12,8,1,0,0,6,11,66898
143,2.1,1.4,3.5,0.7,3.5,29.4,0,5.6,5.6,50.3,56.6,21.6,6,1.9,497,499,11514,62,12,8,1,0,0,6,11,66898
3391,7.9,0.5,5.4,9.4,2.1,54.6,0.6,2.1,0,25.2,50.3,23.2,13,5.1,495,479,10382,69,9,7,0,1,0,4,8,79752
1712,3.3,0.8,2.4,10.6,3.9,33.6,1.2,4.4,0.8,42.3,37.9,22.6,12,9.4,509,473,9109,61,13,12,1,0,0,3,9,67498
1987,4.1,1,2.5,5.8,2.8,31.1,1,3.8,0.5,51.5,31.1,22.7,9,5.6,512,497,9109,61,13,12,1,0,0,3,9,67498
2339,13.4,0.3,0.9,11.9,0.6,78.5,0.5,0.9,0,6.2,79.1,23.8,8,10.1,401,391,10136,61,11,8,1,0,0,5,13,80765
3303,7.8,0.4,1.9,21.4,2.1,67.8,0.6,1.2,0.1,4.6,72,25.6,9,7,409,400,10136,61,11,8,1,0,0,5,13,80765
1183,12.1,8.7,1.4,0.8,1.6,46.7,0.3,2.1,0,38.4,43,21.9,14,5.1,498,485,11213,56,16,9,2,0,0,6,11,79937
1949,8.8,0.5,2.8,1.3,0.9,51.3,0.3,2.7,0,40.2,41.8,24.3,13,4.8,518,496,10005,58,12,8,1,0,2,5,11,73902
1023,1.2,0.6,4.2,1.2,1,34.5,0.5,4.5,0,53.6,22.1,26.6,11,0.8,526,513,10005,58,12,8,1,0,2,5,11,73902
2162,13,0.7,1.9,1.5,0.4,51.9,0.2,3.3,0,39.9,41.7,23.2,15,3.6,517,509,10005,58,12,8,1,0,2,5,11,73902
2284,8.8,0.5,0.6,10.9,0.3,65.7,0.3,4.3,0.1,17.3,80.7,15.8,6,0.1,400,422,11173,58,10,10,2,0,0,6,13,77566
864,10.8,0.8,3,14.8,1.5,67.7,0.3,1.5,0.2,10.1,72.9,26.9,10,4.3,473,485,11173,58,10,10,2,0,0,6,13,77566
2213,8.2,0.5,2.2,25.4,0.9,57.4,1.1,2.1,0.5,9.9,78.4,25.6,12,9.4,427,418,11173,58,10,10,2,0,0,6,13,77566
1115,3.9,0.6,7.1,7.4,2.9,66.3,1,1.1,0.3,13.4,68.2,22.6,7,0.5,571,560,11173,58,10,10,2,0,0,6,13,77566
1892,10.1,0.7,1.8,22.3,0.6,60.5,0.7,1.2,0.5,11.7,79.9,24.6,11,7.3,422,415,11173,58,10,10,2,0,0,6,13,77566
1939,2.3,0.8,0.8,9.4,0.6,38.8,0.5,5.2,3.1,40.8,51.8,25.1,5,0,488,462,11173,58,10,10,2,0,0,6,13,77566
1695,11.5,0.4,1.1,26.1,0.4,63.5,0.8,1.9,0.7,5.1,86.1,23.2,7,11.1,417,409,11173,58,10,10,2,0,0,6,13,77566
1590,9.7,2,3.8,1.4,0.3,63,0.6,1.6,0.2,27.2,51.9,23.3,11,7.9,470,460,9236,59,13,6,3,0,0,5,13,71211
1651,9.1,1.6,3.8,1.3,0.2,68.6,0.1,1.3,0.5,22.7,58.4,23.9,15,9.8,475,457,9236,59,13,6,3,0,0,5,13,71211
2151,6.1,1.2,7.9,1.4,0.7,60.5,0,1.6,0.3,26.4,44.3,18.5,11,1.4,591,572,9236,59,13,6,3,0,0,5,13,71211
1958,4.2,1.4,5.4,3.2,0.3,57.3,0.2,1.5,0.9,29.9,53.5,25,11,5.6,471,475,9236,59,13,6,3,0,0,5,13,71211
2417,8.3,0.5,3.5,3.2,1.7,58.5,1.2,3.9,0,27.7,47.6,20.8,14,3.6,508,492,11065,63,13,7,1,1,0,5,9,74142
1342,10.7,0.7,1,1.8,1.9,57.9,0.5,7,0,29.1,49,21,5,0.7,523,503,11065,63,13,7,1,1,0,5,9,74142
2524,14.4,0.3,1.3,2.2,1.5,72.5,1.2,2.1,0,18.9,62.4,19.5,11,4.7,487,464,11065,63,13,7,1,1,0,5,9,74142
2675,7.7,0.1,54.8,2,8.4,25.6,0.5,1.1,0,7.5,15.9,24.3,15,1.2,608,560,8775,61,9,10,1,0,0,5,11,81678
3061,6.9,0,62.9,2.9,3.9,17.4,0.6,1.3,0,11,10.3,26.7,14,3.4,612,565,8775,61,9,10,1,0,0,5,11,81678
1032,28.6,3.8,9.7,5.8,0.1,70.8,0,0,1.1,8.7,84.7,21.6,8,7.4,564,531,9747,60,10,8,0,0,0,9,12,63695
1032,28.6,3.8,9.7,5.8,0.1,70.8,0,0,1.1,8.7,84.7,21.6,8,7.4,564,531,12554,53,12,10,1,0,0,8,12,65060
2057,11.1,1.3,10.8,5.8,2.8,41.7,1.5,1.9,0,34.2,62.4,22.4,10,5.6,464,441,9747,60,10,8,0,0,0,9,12,63695
2057,11.1,1.3,10.8,5.8,2.8,41.7,1.5,1.9,0,34.2,62.4,22.4,10,5.6,464,441,12554,53,12,10,1,0,0,8,12,65060
576,20.3,0.2,0.7,0.7,0.5,58.2,0.5,0,1.7,37.5,65.8,21.7,8,13.6,453,435,10864,55,9,6,1,1,0,7,10,71374
1528,38.1,0,4,5.2,2.4,86.3,0.4,0,0.2,1.4,92.4,22.9,9,12.8,358,355,10591,54,14,10,2,0,0,8,11,63252
