District Name,County Name (District),District Type (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Teacher Salary-Avg (District)
Elk Grove Unified (Sacramento),Sacramento,Unified School District,9970,68,10,8,0,0,0,5,8,76341
Elk Hills Elementary (Kern),Kern,Elementary School District,10455,56,9,11,0,0,0,16,8,55849
Elkins Elementary (Tehama),Tehama,Elementary School District,12986,42,21,6,0,0,0,16,13,N/A
Elverta Joint Elementary (Sacramento),Sacramento,Elementary School District,10743,51,10,11,0,0,0,10,17,N/A
Emery Unified (Alameda),Alameda,Unified School District,14713,61,14,7,1,0,0,13,3,N/A
Empire Union Elementary (Stanislaus),Stanislaus,Elementary School District,8946,69,9,5,0,0,0,4,8,73988
Encinitas Union Elementary (San Diego),San Diego,Elementary School District,10425,67,10,6,0,3,0,6,8,76891
Enterprise Elementary (Shasta),Shasta,Elementary School District,10275,62,10,8,3,0,0,7,11,63481
Escalon Unified (San Joaquin),San Joaquin,Unified School District,9222,64,11,8,0,0,0,6,11,69833
Escondido Union (San Diego),San Diego,Elementary School District,10471,62,14,5,2,0,0,5,11,74845
Escondido Union High (San Diego),San Diego,High School District,11576,55,16,9,2,0,0,6,11,74196
Esparto Unified (Yolo),Yolo,Unified School District,11042,51,9,7,0,2,0,10,17,68842
Etiwanda Elementary (San Bernardino),San Bernardino,Elementary School District,9106,70,8,8,0,3,0,4,6,78619
Eureka City Schools (Humboldt),Humboldt,Unified School District,10558,51,13,11,1,2,0,7,11,60674
Eureka Union (Placer),Placer,Elementary School District,9193,63,8,8,0,0,0,7,12,76714
Evergreen Elementary (Santa Clara),Santa Clara,Elementary School District,9326,73,11,4,0,0,0,4,7,91113
Evergreen Union (Tehama),Tehama,Elementary School District,8984,63,10,8,2,0,0,7,7,65653
Exeter Unified (Tulare),Tulare,Unified School District,10565,55,11,9,2,0,0,8,14,69151
Fairfax Elementary (Kern),Kern,Elementary School District,10090,63,7,9,0,0,0,6,12,65443
Fairfield-Suisun Unified (Solano),Solano,Unified School District,9561,60,12,8,1,0,0,6,12,68405
Fall River Joint Unified (Shasta),Shasta,Unified School District,11729,55,14,10,1,0,0,8,13,54024
Fallbrook Union Elementary (San Diego),San Diego,Elementary School District,11687,62,10,8,1,0,0,8,10,74078
Fallbrook Union High (San Diego),San Diego,High School District,13830,52,11,10,3,1,0,8,15,78308
Farmersville Unified (Tulare),Tulare,Unified School District,11038,58,13,6,1,0,0,8,12,70971
Feather Falls Union Elementary (Butte),Butte,Elementary School District,37852,53,4,9,0,0,0,14,18,51376
Ferndale Unified (Humboldt),Humboldt,Unified School District,9587,63,9,5,1,0,0,6,10,54763
Fieldbrook Elementary (Humboldt),Humboldt,Elementary School District,8676,65,13,1,0,2,0,8,11,N/A
Fillmore Unified (Ventura),Ventura,Unified School District,10781,56,12,8,1,1,0,7,10,70458
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,11606,55,14,9,1,0,0,8,10,62270
Flournoy Union Elementary (Tehama),Tehama,Elementary School District,14252,52,12,0,0,0,0,18,15,52590
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,9670,63,12,8,2,0,0,5,10,74930
Fontana Unified (San Bernardino),San Bernardino,Unified School District,10597,62,13,7,0,0,0,5,12,80904
Foresthill Union Elementary (Placer),Placer,Elementary School District,9929,63,7,11,0,0,0,9,8,64303
Forestville Union Elementary (Sonoma),Sonoma,Elementary School District,11989,55,11,5,1,5,0,11,8,59554
Forks of Salmon Elementary (Siskiyou),Siskiyou,Elementary School District,16471,35,19,8,2,0,0,14,20,N/A
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,11761,58,12,8,4,1,0,7,10,54083
Fort Ross Elementary (Sonoma),Sonoma,Elementary School District,27155,66,10,1,0,0,0,14,9,N/A
Fort Sage Unified (Lassen),Lassen,Unified School District,14394,53,14,6,4,0,0,12,12,N/A
Fortuna Elementary (Humboldt),Humboldt,Elementary School District,10741,68,8,6,0,0,0,7,7,60397
Fortuna Union High (Humboldt),Humboldt,High School District,11035,55,13,12,2,0,0,6,9,61167
Fountain Valley Elementary (Orange),Orange,Elementary School District,8363,67,12,6,0,0,0,6,9,81172
Fowler Unified (Fresno),Fresno,Unified School District,10129,67,7,8,1,0,0,5,12,N/A
Franklin Elementary (Sutter),Sutter,Elementary School District,7939,59,8,8,1,0,0,5,17,73268
Franklin-McKinley Elementary (Santa Clara),Santa Clara,Elementary School District,10970,67,12,4,0,0,0,6,8,82836
Fremont Unified (Alameda),Alameda,Unified School District,9337,67,11,5,0,0,0,5,9,87642
Fremont Union High (Santa Clara),Santa Clara,High School District,12337,60,15,11,0,0,0,6,8,91951
French Gulch-Whiskeytown Elementary (Shasta),Shasta,Elementary School District,11880,61,10,1,0,0,0,13,16,44586
Freshwater Elementary (Humboldt),Humboldt,Elementary School District,10518,68,6,3,1,5,0,5,12,N/A
Fresno County Office of Education (Fresno),Fresno,County Office of Education (COE),N/A,47,20,14,1,0,0,14,3,67678
Fresno Unified (Fresno),Fresno,Unified School District,11599,60,13,8,2,0,0,4,12,75170
Fruitvale Elementary (Kern),Kern,Elementary School District,8622,65,7,7,0,0,0,6,12,69957
Fullerton Elementary (Orange),Orange,Elementary School District,9467,66,14,5,0,0,0,5,8,87006
Fullerton Joint Union High (Orange),Orange,High School District,9845,60,9,11,0,0,0,5,9,96498
Galt Joint Union Elementary (Sacramento),Sacramento,Elementary School District,10428,65,14,6,0,0,0,7,8,74352
Galt Joint Union High (Sacramento),Sacramento,High School District,11107,57,13,9,4,0,0,7,8,75424
Garden Grove Unified (Orange),Orange,Unified School District,10719,66,10,8,2,0,0,3,9,95426
Garfield Elementary (Humboldt),Humboldt,Elementary School District,11468,62,17,0,0,4,0,12,5,N/A
Garvey Elementary (Los Angeles),Los Angeles,Elementary School District,10633,60,11,8,0,0,0,8,10,80600
Gateway Unified (Shasta),Shasta,Unified School District,12521,60,11,8,2,0,0,8,11,63960
Gazelle Union Elementary (Siskiyou),Siskiyou,Elementary School District,12065,41,21,14,1,0,0,10,8,N/A
General Shafter Elementary (Kern),Kern,Elementary School District,14041,47,11,7,0,0,0,4,28,53037
Gerber Union Elementary (Tehama),Tehama,Elementary School District,10059,65,5,8,0,0,0,8,11,67256
Geyserville Unified (Sonoma),Sonoma,Unified School District,15688,58,13,6,1,0,0,8,13,58689
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,9614,62,11,7,1,0,0,6,10,75150
Glendale Unified (Los Angeles),Los Angeles,Unified School District,10417,68,12,6,1,0,0,4,9,80853
Glendora Unified (Los Angeles),Los Angeles,Unified School District,9416,69,9,7,0,0,0,5,8,84139
Glenn County Office of Education (Glenn),Glenn,County Office of Education (COE),N/A,42,21,12,1,2,0,16,2,58893
Gold Oak Union Elementary (El Dorado),El Dorado,Elementary School District,9103,60,9,7,0,0,0,9,11,59065
Gold Trail Union Elementary (El Dorado),El Dorado,Elementary School District,9257,65,8,8,1,0,0,6,12,N/A
Golden Feather Union Elementary (Butte),Butte,Elementary School District,14433,55,5,9,0,0,0,16,13,67163
Golden Plains Unified (Fresno),Fresno,Unified School District,11581,51,8,7,1,0,0,9,24,62315
Golden Valley Unified (Madera),Madera,Unified School District,9420,58,14,7,1,0,0,8,10,61727
Goleta Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,12286,69,9,6,0,0,0,6,9,82579
Gonzales Unified (Monterey),Monterey,Unified School District,10488,57,13,9,1,0,0,8,6,70595
Gorman Joint (Los Angeles),Los Angeles,Elementary School District,12397,48,12,10,0,0,0,22,9,N/A
Grant Elementary (Shasta),Shasta,Elementary School District,9875,69,9,3,1,2,0,6,10,68193
Grass Valley Elementary (Nevada),Nevada,Elementary School District,11214,60,10,7,0,2,0,5,9,66405
Gratton Elementary (Stanislaus),Stanislaus,Elementary School District,9873,59,15,0,0,0,0,7,18,56334
Gravenstein Union Elementary (Sonoma),Sonoma,Elementary School District,8785,76,7,2,1,0,0,6,6,N/A
Graves Elementary (Monterey),Monterey,Elementary School District,10112,64,13,2,0,0,0,5,17,N/A
Green Point Elementary (Humboldt),Humboldt,Elementary School District,23825,58,4,16,0,0,0,17,4,N/A
Greenfield Union (Kern),Kern,Elementary School District,9410,60,10,8,0,1,0,4,10,71726
Greenfield Union Elementary (Monterey),Monterey,Elementary School District,10175,49,15,9,0,0,0,10,11,65349
Grenada Elementary (Siskiyou),Siskiyou,Elementary School District,10100,54,15,7,2,0,0,5,14,53398
Gridley Unified (Butte),Butte,Unified School District,10024,61,10,7,2,0,0,6,12,70966
Grossmont Union High (San Diego),San Diego,High School District,12818,60,12,10,1,0,0,6,11,79918
Guadalupe Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,10248,62,10,8,0,1,0,7,12,76897
Guerneville Elementary (Sonoma),Sonoma,Elementary School District,12528,62,7,5,0,0,0,13,8,64791
Gustine Unified (Merced),Merced,Unified School District,9513,57,9,8,1,0,0,10,10,66787
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,10377,59,11,6,1,0,0,5,17,78798
Hamilton Unified (Glenn),Glenn,Unified School District,9344,57,13,3,0,0,0,8,12,60974
Hanford Elementary (Kings),Kings,Elementary School District,10340,57,14,9,2,0,0,6,10,69459
Hanford Joint Union High (Kings),Kings,High School District,10201,55,12,10,1,0,0,6,14,75503
Happy Camp Union Elementary (Siskiyou),Siskiyou,Elementary School District,12028,54,16,6,0,0,0,9,11,N/A
Happy Valley Elementary (Santa Cruz),Santa Cruz,Elementary School District,10340,58,15,1,0,0,0,10,15,64932
Happy Valley Union Elementary (Shasta),Shasta,Elementary School District,10822,65,7,8,0,0,0,7,11,N/A
Harmony Union Elementary (Sonoma),Sonoma,Elementary School District,19427,63,7,4,0,0,0,8,18,65959
Hart-Ransom Union Elementary (Stanislaus),Stanislaus,Elementary School District,8409,69,9,5,0,0,0,7,8,73390
Hawthorne (Los Angeles),Los Angeles,Elementary School District,10976,62,11,7,0,1,0,5,12,78760
Hayward Unified (Alameda),Alameda,Unified School District,11834,61,15,8,0,0,0,5,9,84645
Healdsburg Unified (Sonoma),Sonoma,Unified School District,13396,61,13,6,0,0,0,8,10,66895
Heber Elementary (Imperial),Imperial,Elementary School District,11132,61,8,5,1,0,0,8,17,72487
Helendale Elementary (San Bernardino),San Bernardino,Elementary School District,8840,63,9,4,0,0,0,12,10,68797
Hemet Unified (Riverside),Riverside,Unified School District,11110,61,12,9,1,0,0,6,9,79813
Hermosa Beach City Elementary (Los Angeles),Los Angeles,Elementary School District,9022,69,8,6,0,1,0,7,9,81224
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,9816,64,11,7,0,0,0,7,10,75337
Hickman Community Charter (Stanislaus),Stanislaus,Elementary School District,8202,71,9,4,0,0,0,8,7,76865
Hillsborough City Elementary (San Mateo),San Mateo,Elementary School District,17165,69,11,4,0,1,0,6,8,95134
Hilmar Unified (Merced),Merced,Unified School District,9923,61,9,10,2,0,0,7,10,70268
Hollister (San Benito),San Benito,Elementary School District,9822,63,12,7,0,0,0,7,8,N/A
Holtville Unified (Imperial),Imperial,Unified School District,10328,59,11,9,2,0,0,8,10,72674
Hope Elementary (Santa Barbara),Santa Barbara,Elementary School District,8552,58,10,3,1,0,0,12,16,81175
Hope Elementary (Tulare),Tulare,Elementary School District,10338,69,10,2,0,0,0,8,10,52562
Horicon Elementary (Sonoma),Sonoma,Elementary School District,35884,52,9,5,0,0,0,12,20,58980
Hornbrook Elementary (Siskiyou),Siskiyou,Elementary School District,14513,40,14,7,1,0,0,9,28,46120
Hot Springs Elementary (Tulare),Tulare,Elementary School District,15440,49,15,14,0,0,0,14,8,N/A
Howell Mountain Elementary (Napa),Napa,Elementary School District,23800,59,19,3,0,0,0,12,7,N/A
Hueneme Elementary (Ventura),Ventura,Elementary School District,10168,65,12,6,0,1,0,4,9,87355
Hughes-Elizabeth Lakes Union Elementary (Los Angeles),Los Angeles,Elementary School District,11824,53,11,10,0,0,0,11,12,N/A
Hughson Unified (Stanislaus),Stanislaus,Unified School District,10292,63,10,5,2,0,0,8,9,77777
Humboldt County Office of Education (Humboldt),Humboldt,County Office of Education (COE),N/A,39,16,15,1,0,0,19,6,N/A
Huntington Beach City Elementary (Orange),Orange,Elementary School District,9145,70,10,4,0,0,0,6,8,89123
Huntington Beach Union High (Orange),Orange,High School District,10698,56,12,9,2,0,0,6,13,91005
Hydesville Elementary (Humboldt),Humboldt,Elementary School District,8819,67,8,5,1,0,0,8,10,N/A
"Igo, Ono, Platina Union Elementary (Shasta)",Shasta,Elementary School District,14964,50,18,4,1,0,0,12,14,43146
Imperial County Office of Education (Imperial),Imperial,County Office of Education (COE),N/A,24,56,6,0,0,0,9,3,62612
Imperial Unified (Imperial),Imperial,Unified School District,9270,64,8,11,1,0,0,6,10,85175
Indian Diggings Elementary (El Dorado),El Dorado,Elementary School District,13726,70,8,3,0,0,0,10,9,N/A
Indian Springs Elementary (Shasta),Shasta,Elementary School District,48711,43,8,8,0,0,0,10,29,N/A
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,11869,59,11,6,0,0,1,6,12,73263
Inyo County Office of Education (Inyo),Inyo,County Office of Education (COE),N/A,26,14,5,0,0,0,49,5,90054
Irvine Unified (Orange),Orange,Unified School District,9488,62,13,9,0,0,0,3,10,79635
Island Union Elementary (Kings),Kings,Elementary School District,8467,66,7,7,0,0,0,10,9,63139
Jacoby Creek Elementary (Humboldt),Humboldt,Elementary School District,8619,65,7,5,1,4,0,5,9,62289
Jamestown Elementary (Tuolumne),Tuolumne,Elementary School District,11111,55,11,7,0,1,0,13,9,62769
Jamul-Dulzura Union Elementary (San Diego),San Diego,Elementary School District,10584,49,19,10,1,0,0,9,12,71528
Janesville Union Elementary (Lassen),Lassen,Elementary School District,8844,63,9,4,1,0,0,10,11,65617
Jefferson Elementary (San Joaquin),San Joaquin,Elementary School District,9868,61,13,7,1,0,0,7,7,N/A
Jefferson Elementary (San Benito),San Benito,Elementary School District,8055,68,10,3,0,0,0,8,9,66897
Jefferson Elementary (San Mateo),San Mateo,Elementary School District,28197,67,14,1,0,0,0,8,11,73536
Jefferson Union High (San Mateo),San Mateo,High School District,11036,53,9,11,1,0,0,6,15,66327
John Swett Unified (Contra Costa),Contra Costa,Unified School District,10719,64,10,6,1,0,0,10,9,62498
Johnstonville Elementary (Lassen),Lassen,Elementary School District,8740,55,16,5,1,0,0,10,13,47928
Julian Union Elementary (San Diego),San Diego,Elementary School District,19523,70,12,5,0,0,0,4,10,N/A
Julian Union High (San Diego),San Diego,High School District,20807,59,7,8,2,0,0,14,9,N/A
Junction City Elementary (Trinity),Trinity,Elementary School District,13492,49,21,0,3,0,0,13,11,N/A
Junction Elementary (Shasta),Shasta,Elementary School District,15507,61,13,5,0,0,0,8,11,54570
Junction Elementary (Siskiyou),Siskiyou,Elementary School District,9970,53,13,5,1,4,0,10,13,N/A
Jurupa Unified (Riverside),Riverside,Unified School District,10785,66,10,8,1,0,0,3,10,86129
Kashia Elementary (Sonoma),Sonoma,Elementary School District,21451,62,12,7,0,0,0,13,7,53404
Kelseyville Unified (Lake),Lake,Unified School District,11805,56,11,12,1,0,0,7,11,59950
Kentfield Elementary (Marin),Marin,Elementary School District,13422,67,10,3,0,0,0,9,6,82979
Kenwood (Sonoma),Sonoma,Elementary School District,16310,58,15,2,0,0,0,16,9,N/A
Keppel Union Elementary (Los Angeles),Los Angeles,Elementary School District,11038,63,9,8,0,0,0,6,14,72629
Kerman Unified (Fresno),Fresno,Unified School District,9058,54,9,8,1,0,0,7,21,66335
Kern County Superintendent of Schools (Kern),Kern,County Office of Education (COE),N/A,28,13,16,0,0,2,25,7,64874
Kern High (Kern),Kern,High School District,11168,52,13,11,2,0,0,7,14,73350
Kernville Union Elementary (Kern),Kern,Elementary School District,10212,50,9,13,0,0,0,7,9,62772
Keyes Union (Stanislaus),Stanislaus,Elementary School District,10309,68,10,5,0,0,0,5,8,76241
King City Union (Monterey),Monterey,Elementary School District,9924,60,11,5,0,0,0,8,8,66247
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,10635,55,13,12,2,0,0,6,11,69005
Kings County Office of Education (Kings),Kings,County Office of Education (COE),N/A,24,20,27,0,1,0,22,5,63648
Kings River Union Elementary (Tulare),Tulare,Elementary School District,10131,62,9,7,1,1,0,10,9,69780
Kings River-Hardwick Union Elementary (Kings),Kings,Elementary School District,7955,69,7,5,0,0,0,9,8,N/A
Kingsburg Elementary Charter (Fresno),Fresno,Elementary School District,9038,49,12,6,0,0,0,8,23,63404
Kingsburg Joint Union High (Fresno),Fresno,High School District,10698,59,8,9,2,0,0,6,12,78441
Kirkwood Elementary (Tehama),Tehama,Elementary School District,8471,58,18,1,1,0,0,8,12,N/A
Kit Carson Union Elementary (Kings),Kings,Elementary School District,9469,52,12,8,0,0,0,8,17,74522
Klamath River Union Elementary (Siskiyou),Siskiyou,Elementary School District,17013,36,12,17,1,0,0,11,14,N/A
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,16795,56,13,9,1,0,0,10,11,56652
Kneeland Elementary (Humboldt),Humboldt,Elementary School District,18966,56,14,8,0,0,0,11,11,N/A
Knights Ferry Elementary (Stanislaus),Stanislaus,Elementary School District,9828,63,20,1,0,0,0,9,7,48222
Knightsen Elementary (Contra Costa),Contra Costa,Elementary School District,10169,62,9,4,0,1,0,10,14,N/A
Konocti Unified (Lake),Lake,Unified School District,11377,58,11,12,1,0,0,6,12,56590
La Canada Unified (Los Angeles),Los Angeles,Unified School District,10576,62,12,6,0,0,0,8,12,79872
La Habra City Elementary (Orange),Orange,Elementary School District,10330,64,12,8,0,0,0,5,9,88496
La Honda-Pescadero Unified (San Mateo),San Mateo,Unified School District,16882,57,14,5,2,0,0,11,9,65831
La Mesa-Spring Valley (San Diego),San Diego,Elementary School District,9820,62,11,10,0,1,0,5,10,82402
Lafayette Elementary (Contra Costa),Contra Costa,Elementary School District,11109,72,11,4,0,0,0,5,8,73300
Laguna Beach Unified (Orange),Orange,Unified School District,16941,57,11,9,2,0,0,8,12,97714
Laguna Joint Elementary (Marin),Marin,Elementary School District,14879,67,10,4,0,0,0,6,6,58348
Lagunita Elementary (Monterey),Monterey,Elementary School District,8284,45,25,3,0,0,0,10,4,N/A
Lagunitas Elementary (Marin),Marin,Elementary School District,13091,58,16,3,0,0,0,9,11,N/A
Lake County Office of Education (Lake),Lake,County Office of Education (COE),N/A,20,25,23,0,0,1,20,3,58291
Lake Elementary (Glenn),Glenn,Elementary School District,9523,52,12,12,0,0,0,6,10,N/A
Lake Elsinore Unified (Riverside),Riverside,Unified School District,9574,64,8,8,1,0,1,5,11,84701
Lake Tahoe Unified (El Dorado),El Dorado,Unified School District,10701,65,10,8,1,0,0,6,11,72661
Lakeport Unified (Lake),Lake,Unified School District,9944,59,13,7,2,0,0,8,9,60312
Lakeside Joint (Santa Clara),Santa Clara,Elementary School District,19412,49,11,4,0,0,0,12,8,N/A
Lakeside Union (Kern),Kern,Elementary School District,9118,62,7,7,0,0,0,8,8,N/A
Lakeside Union Elementary (Kings),Kings,Elementary School District,10085,67,7,7,0,0,0,8,10,52582
Lakeside Union Elementary (San Diego),San Diego,Elementary School District,10276,53,9,8,0,0,0,12,17,71768
Lammersville Joint Unified (San Joaquin),San Joaquin,Unified School District,8256,61,13,5,3,0,0,6,10,59686
Lamont Elementary (Kern),Kern,Elementary School District,10857,57,12,7,0,2,0,7,13,N/A
Lancaster Elementary (Los Angeles),Los Angeles,Elementary School District,9814,61,10,9,0,1,1,6,10,78340
Larkspur-Corte Madera (Marin),Marin,Elementary School District,12238,66,10,4,0,0,0,9,10,83036
Las Lomitas Elementary (San Mateo),San Mateo,Elementary School District,16783,68,10,6,0,0,0,8,7,99427
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,9511,65,12,8,1,0,0,4,9,75700
Lassen County Office of Education (Lassen),Lassen,County Office of Education (COE),N/A,38,12,19,5,0,0,21,4,61754
Lassen Union High (Lassen),Lassen,High School District,11372,49,10,12,4,0,0,10,14,67566
Lassen View Union Elementary (Tehama),Tehama,Elementary School District,8796,64,8,6,1,0,0,8,10,64972
Laton Joint Unified (Fresno),Fresno,Unified School District,11725,57,9,7,1,0,0,9,18,54254
Latrobe (El Dorado),El Dorado,Elementary School District,13164,55,15,4,0,0,0,13,12,N/A
Lawndale Elementary (Los Angeles),Los Angeles,Elementary School District,11007,67,10,7,0,0,0,7,8,83062
Laytonville Unified (Mendocino),Mendocino,Unified School District,12769,55,13,8,3,0,0,10,11,55274
Le Grand Union Elementary (Merced),Merced,Elementary School District,10420,58,14,5,0,0,0,9,12,65508
Le Grand Union High (Merced),Merced,High School District,13764,54,8,8,1,0,0,11,14,N/A
Leggett Valley Unified (Mendocino),Mendocino,Unified School District,18237,52,9,8,1,0,0,12,18,49869
Lemon Grove (San Diego),San Diego,Elementary School District,10997,69,8,6,2,0,0,8,7,74412
Lemoore Union Elementary (Kings),Kings,Elementary School District,9586,63,11,8,0,0,0,6,10,67088
Lemoore Union High (Kings),Kings,High School District,10387,52,8,12,3,0,0,8,14,69427
Lennox (Los Angeles),Los Angeles,Elementary School District,13154,61,11,5,0,0,0,9,12,86424
Lewiston Elementary (Trinity),Trinity,Elementary School District,20045,58,9,7,2,0,0,8,13,N/A
Liberty Elementary (Tulare),Tulare,Elementary School District,7472,62,5,5,0,0,0,11,15,54955
Liberty Elementary (Sonoma),Sonoma,Elementary School District,10340,70,10,2,0,0,0,11,8,67578
Liberty Union High (Contra Costa),Contra Costa,High School District,9526,60,13,5,0,0,0,4,11,74076
Lincoln Elementary (Marin),Marin,Elementary School District,16956,64,17,0,0,0,0,8,6,71563
Lincoln Unified (San Joaquin),San Joaquin,Unified School District,9327,63,7,8,1,0,0,5,15,69019
Linden Unified (San Joaquin),San Joaquin,Unified School District,10083,59,9,8,0,0,0,8,13,68713
Lindsay Unified (Tulare),Tulare,Unified School District,11870,56,17,8,0,0,0,6,11,70180
Linns Valley-Poso Flat Union (Kern),Kern,Elementary School District,25840,43,8,17,0,0,0,5,18,N/A
Little Lake City Elementary (Los Angeles),Los Angeles,Elementary School District,10353,69,9,6,0,0,0,7,8,76172
Little Shasta Elementary (Siskiyou),Siskiyou,Elementary School District,25682,54,12,0,1,0,0,14,18,35500
Live Oak Elementary (Santa Cruz),Santa Cruz,Elementary School District,10662,63,14,5,0,0,0,10,8,65084
Live Oak Unified (Sutter),Sutter,Unified School District,9774,57,9,10,1,1,0,7,11,68387
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,10203,62,13,8,1,0,0,5,9,75464
Livingston Union (Merced),Merced,Elementary School District,9900,65,10,6,0,0,0,7,10,77348
Lodi Unified (San Joaquin),San Joaquin,Unified School District,10807,66,10,8,0,0,0,5,10,70254
Loleta Union Elementary (Humboldt),Humboldt,Elementary School District,15696,55,10,7,0,0,0,16,11,45608
Loma Prieta Joint Union Elementary (Santa Clara),Santa Clara,Elementary School District,11969,57,12,6,0,3,0,13,8,70157
Lompoc Unified (Santa Barbara),Santa Barbara,Unified School District,9740,60,9,8,1,0,0,7,10,73517
Lone Pine Unified (Inyo),Inyo,Unified School District,17205,48,6,7,2,0,0,10,14,66335
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,11073,65,11,7,0,1,0,4,12,89097
Loomis Union Elementary (Placer),Placer,Elementary School District,8389,58,12,6,0,0,0,6,12,67298
Los Alamitos Unified (Orange),Orange,Unified School District,9376,67,8,5,0,0,0,6,10,96771
Los Altos Elementary (Santa Clara),Santa Clara,Elementary School District,12013,66,10,6,0,0,0,6,11,81124
Los Angeles County Office of Education (Los Angeles),Los Angeles,County Office of Education (COE),N/A,33,17,14,0,4,2,15,7,N/A
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,12910,59,13,9,2,0,0,7,10,73658
Los Banos Unified (Merced),Merced,Unified School District,9803,60,9,8,1,0,0,6,14,N/A
Los Gatos Union Elementary (Santa Clara),Santa Clara,Elementary School District,10222,69,8,4,0,0,0,8,10,89562
Los Gatos-Saratoga Joint Union High (Santa Clara),Santa Clara,High School District,15171,60,10,7,3,0,0,8,12,103940
Los Molinos Unified (Tehama),Tehama,Unified School District,12791,56,14,7,2,0,0,8,11,N/A
Los Nietos (Los Angeles),Los Angeles,Elementary School District,10983,65,8,8,0,0,0,9,9,74473
Los Olivos Elementary (Santa Barbara),Santa Barbara,Elementary School District,12438,58,4,1,0,0,0,19,11,64141
Lost Hills Union Elementary (Kern),Kern,Elementary School District,12562,57,8,6,1,1,0,8,15,61216
Lowell Joint (Los Angeles),Los Angeles,Elementary School District,8511,65,11,4,0,0,0,6,11,85428
Lucerne Elementary (Lake),Lake,Elementary School District,10669,61,11,7,2,0,0,8,10,55797
Lucerne Valley Unified (San Bernardino),San Bernardino,Unified School District,13440,52,10,6,0,0,0,9,14,73503
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,9587,65,9,8,1,0,0,6,9,64375
Luther Burbank (Santa Clara),Santa Clara,Elementary School District,11685,62,6,8,0,0,0,11,12,78375
Lynwood Unified (Los Angeles),Los Angeles,Unified School District,10852,54,13,6,0,1,0,8,14,77992
Madera County Office of Education (Madera),Madera,County Office of Education (COE),N/A,37,16,15,0,2,0,16,8,64715
Madera Unified (Madera),Madera,Unified School District,10130,58,12,9,2,0,0,6,11,68273
Magnolia Elementary (Orange),Orange,Elementary School District,10634,67,12,7,0,1,0,4,8,87675
Magnolia Union Elementary (Imperial),Imperial,Elementary School District,8552,72,11,5,0,0,0,6,7,74426
Mammoth Unified (Mono),Mono,Unified School District,11225,63,7,5,1,0,0,6,14,69510
Manchester Union Elementary (Mendocino),Mendocino,Elementary School District,18163,66,8,5,0,0,0,14,5,N/A
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,10920,65,9,6,1,0,0,6,11,82686
Manteca Unified (San Joaquin),San Joaquin,Unified School District,9419,64,13,7,0,0,1,5,9,77022
Manzanita Elementary (Butte),Butte,Elementary School District,8971,65,8,3,0,0,0,9,11,70539
Maple Creek Elementary (Humboldt),Humboldt,Elementary School District,32035,59,3,12,0,0,0,16,10,N/A
Maple Elementary (Kern),Kern,Elementary School District,8600,60,7,4,0,0,0,15,10,N/A
Marcum-Illinois Union Elementary (Sutter),Sutter,Elementary School District,14159,51,11,10,0,0,0,9,18,50390
Maricopa Unified (Kern),Kern,Unified School District,14631,53,6,9,0,0,0,9,14,N/A
Marin County Office of Education (Marin),Marin,County Office of Education (COE),N/A,43,28,3,1,0,0,21,4,N/A
Mariposa County Office of Education (Mariposa),Mariposa,County Office of Education (COE),N/A,49,19,13,0,0,0,14,1,58139
Mariposa County Unified (Mariposa),Mariposa,Unified School District,11171,55,11,12,1,0,0,7,13,61467
Mark Twain Union Elementary (Calaveras),Calaveras,Elementary School District,8433,59,9,10,0,0,0,11,9,61372
Mark West Union Elementary (Sonoma),Sonoma,Elementary School District,9412,71,11,5,0,0,0,7,6,70141
Martinez Unified (Contra Costa),Contra Costa,Unified School District,9828,67,10,6,0,0,0,7,8,70652
Marysville Joint Unified (Yuba),Yuba,Unified School District,10066,55,10,11,1,0,0,6,13,69776
