"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"991","Salinas Union High","Salinas High","Monterey","High School","2581","14.4","0.3","2.8","1.3","2.1","67.9","0.4","1","0.1","24.1","44.4","22.5","10","5.3","499","475","11294","57","14","11","0","0","0","6","10","72027"
"992","Salinas Union High","North Salinas High","Monterey","High School","1977","22.8","0.3","1.4","1.8","7.6","81","0.1","0.2","0.1","7.6","62.8","21","10","3.4","436","434","11294","57","14","11","0","0","0","6","10","72027"
"993","San Benito High","San Benito High","San Benito","High School","2897","13.4","0.2","1.3","0.6","1.2","69.3","0.1","0.6","0.2","26.4","50.8","23.3","8","5.2","475","468","9950","52","8","11","2","0","0","10","11","75441"
"994","San Bernardino City Unified","Provisional Accelerated Learning Academy","San Bernardino","High School","167","33.5","0.6","0","14.4","0","79.6","0","0.6","1.8","3","89.2","26.5","2","0","0","0","12127","62","12","10","0","0","0","5","10","78962"
"995","San Bernardino City Unified","San Bernardino High","San Bernardino","High School","1621","18.5","0.4","0.4","11.2","0.5","80.5","0.4","0.5","1.7","4.5","91.9","19.5","12","11.9","415","411","12127","62","12","10","0","0","0","5","10","78962"
"996","San Bernardino City Unified","San Gorgonio High","San Bernardino","High School","2044","10","0.4","3.4","14.7","0.7","70.6","0.8","1.3","0.8","7.1","85.8","24.3","15","10.6","442","436","12127","62","12","10","0","0","0","5","10","78962"
"997","San Bernardino City Unified","Center For Learning and Educational Success","San Bernardino","High School","75","17.3","0","0","26.7","0","61.3","0","1.3","0","10.7","66.7","0","N/A","0","N/A","N/A","12127","62","12","10","0","0","0","5","10","78962"
"998","San Bernardino City Unified","Cajon High","San Bernardino","High School","2836","5.9","1","1.9","14.9","0.9","63.6","0.9","0.8","0.6","15.4","73.9","25.1","14","7.6","462","441","12127","62","12","10","0","0","0","5","10","78962"
"999","San Bernardino City Unified","Arroyo Valley High","San Bernardino","High School","2617","18.9","0.4","1","7","0.2","86.9","1","0.2","1.1","2.2","87.6","24.2","11","9.4","431","413","12127","62","12","10","0","0","0","5","10","78962"
"1000","San Bernardino City Unified","Options for Youth-San Bernardino","San Bernardino","High School","499","10.2","2.2","0.8","13","0.4","67.7","0.2","5.4","0.4","9.8","83.8","15.1","3","0","462","460","12127","62","12","10","0","0","0","5","10","78962"
"1001","San Bernardino City Unified","Indian Springs High","San Bernardino","High School","1797","17.2","0.5","2.6","13.7","0.6","77.2","0.2","0.7","0.3","4.2","93","24.3","7","8.9","412","404","12127","62","12","10","0","0","0","5","10","78962"
"1002","San Bernardino City Unified","Pacific High","San Bernardino","High School","1350","16.4","0.3","1.6","16.2","0.3","73","0.5","1.1","0.9","6.1","89.3","21.4","10","12.7","416","408","12127","62","12","10","0","0","0","5","10","78962"
"1003","San Diego Unified","Preuss School UCSD","San Diego","High School","840","3.8","0.1","16.4","9.5","0.8","68.8","0.2","2.4","0.6","1.1","97.1","20.3","7","3.6","490","479","12265","63","12","12","0","0","0","4","9","76603"
"1004","San Diego Unified","Clairemont High","San Diego","High School","1000","11.2","0.4","5.8","1.8","0.9","51.8","0.2","5.4","0.4","33.3","55.5","16.8","13","3.2","490","482","12265","63","12","12","0","0","0","4","9","76603"
"1005","San Diego Unified","La Jolla High","San Diego","High School","1581","3.5","0.2","5.9","1.7","0.9","30.9","0.3","6.6","0.3","53.3","26.1","24.4","17","3.7","566","549","12265","63","12","12","0","0","0","4","9","76603"
"1006","San Diego Unified","Scripps Ranch High","San Diego","High School","2221","2.1","0.1","22.8","3.5","6.4","18","0.2","8.6","0","40.4","18.9","25.7","17","2.5","583","552","12265","63","12","12","0","0","0","4","9","76603"
"1007","San Diego Unified","Gompers Preparatory Academy","San Diego","High School","1192","25.4","0.1","4.2","9.9","0.4","82.7","1.4","1","0.1","0.2","92.1","16.5","4","8.5","374","366","12265","63","12","12","0","0","0","4","9","76603"
"1008","San Diego Unified","Kearny Digital Media & Design","San Diego","High School","408","12.5","0","9.3","12.5","4.2","52","0.7","6.1","0.2","15","72.1","21.8","8","4.8","414","440","12265","63","12","12","0","0","0","4","9","76603"
"1009","San Diego Unified","San Diego MVP Arts","San Diego","High School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12265","63","12","12","0","0","0","4","9","76603"
"1010","San Diego Unified","High Tech High Media Arts","San Diego","High School","400","5.3","0.5","4.3","9.3","5.5","49","0.8","2","0","28.8","52.5","22.1","3","1.5","479","475","12265","63","12","12","0","0","0","4","9","76603"
"1011","San Diego Unified","Kearny College Connections","San Diego","High School","401","13.5","0.2","19.5","10.7","4.2","47.1","1.2","5.7","0.2","11","68.3","22.3","11","1.2","489","451","12265","63","12","12","0","0","0","4","9","76603"
"1012","San Diego Unified","Kearny Eng, Innov & Design","San Diego","High School","320","15.3","0","10.9","10","3.8","58.8","0.6","4.1","0","11.9","74.7","20.8","9","7.1","428","398","12265","63","12","12","0","0","0","4","9","76603"
"1013","San Diego Unified","San Diego Science and Technology","San Diego","High School","730","23.2","0.1","1.6","9.3","1.2","77.9","0","2.3","0.3","7.1","90.7","22","11","3.6","449","434","12265","63","12","12","0","0","0","4","9","76603"
"1014","San Diego Unified","San Diego SCPA","San Diego","High School","1422","4.9","0.3","3","12","22.9","39.3","0.9","7.5","0.3","13.9","56.4","23.1","13","1.5","473","481","12265","63","12","12","0","0","0","4","9","76603"
"1015","San Diego Unified","Health Sciences High","San Diego","High School","593","20.4","0.5","2.4","20.1","1.7","63.4","0.2","1","0","10.8","70.5","32.9","2","0","441","418","12265","63","12","12","0","0","0","4","9","76603"
"1016","San Diego Unified","King-Chavez Community High","San Diego","High School","571","30.5","0","0","1.6","0","97.7","0","0","0.7","0","99.6","19.6","3","6.8","394","370","12265","63","12","12","0","0","0","4","9","76603"
"1017","San Diego Unified","Kearny SCT","San Diego","High School","346","11","0.6","19.7","15.6","7.5","38.4","0.3","6.9","0.6","10.4","72.8","22.1","10","6.1","512","460","12265","63","12","12","0","0","0","4","9","76603"
"1018","San Diego Unified","University City High","San Diego","High School","1813","5.8","0.3","11.1","4","5.9","34.5","0.2","7.1","0.1","36.8","40","25.7","15","3.8","535","509","12265","63","12","12","0","0","0","4","9","76603"
"1019","San Diego Unified","Lincoln High","San Diego","High School","1448","29.3","0.1","4.4","18.4","1.7","69.5","1.7","2.1","0.6","1.7","89.2","25.2","8","5.1","533","508","12265","63","12","12","0","0","0","4","9","76603"
"1020","San Diego Unified","Charter School of San Diego","San Diego","High School","2226","13.9","0.4","2.2","9.9","2.5","60.3","0.9","1.5","0.8","21.6","74.2","31.4","5","0","448","456","12265","63","12","12","0","0","0","4","9","76603"
"1021","San Diego Unified","Arroyo Paseo Charter High","San Diego","High School","124","37.1","0","4.8","11.3","0","77.4","0","0.8","1.6","4","96.8","10.3","3","10.4","0","0","12265","63","12","12","0","0","0","4","9","76603"
"1022","San Diego Unified","Ingenuity Charter","San Diego","High School","23","21.7","0","0","26.1","0","65.2","0","8.7","0","0","100","11.5","1","0","N/A","N/A","12265","63","12","12","0","0","0","4","9","76603"
"1023","San Diego Unified","Hoover High","San Diego","High School","2028","26.3","0.3","13.9","10","0.3","71.6","0.4","1.6","0.9","1.1","90.4","20.6","12","2.1","414","400","12265","63","12","12","0","0","0","4","9","76603"
"1024","San Diego Unified","San Diego Business/Leadership","San Diego","High School","686","28.6","0.4","0.3","8.3","0.7","84.3","0.4","2","0.7","2.8","78.9","18.4","12","7.2","411","411","12265","63","12","12","0","0","0","4","9","76603"
"1025","San Diego Unified","Madison High","San Diego","High School","1125","7.6","0.2","7.7","11.7","2.6","45.7","1.4","7.5","0.4","22.8","66.8","19.7","14","8.7","457","445","12265","63","12","12","0","0","0","4","9","76603"
"1026","San Diego Unified","Crawford High","San Diego","High School","1071","36.8","0.2","25.9","25.8","1.2","43.2","0.1","1.3","0.1","2.2","96.7","17.7","14","5.1","388","378","12265","63","12","12","0","0","0","4","9","76603"
"1027","San Diego Unified","Henry High","San Diego","High School","2384","4.3","0.3","14.3","6.6","1","31.8","0.5","7.1","0.2","38.2","40.3","23.6","14","4.3","529","490","12265","63","12","12","0","0","0","4","9","76603"
