"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"1","ABC Unified","Gahr","Los Angeles","High School","1981","10","0.2","15.1","15.9","12.9","46.1","0.9","1.4","0.1","7.4","52.7","24.1","13","1.3","476","460","10054","65","11","8","0","0","0","5","10","81550"
"2","ABC Unified","Cerritos High","Los Angeles","High School","2132","4.9","0","44.8","6.2","17.3","21.8","0.6","2.4","0","6.8","29.3","24.1","13","0.6","570","526","10054","65","11","8","0","0","0","5","10","81550"
"3","ABC Unified","Whitney","Los Angeles","High School","1011","0.2","0.4","63.3","1.9","16.3","12.2","0.5","1.8","0","3.7","21.3","24.7","17","0.2","683","647","10054","65","11","8","0","0","0","5","10","81550"
"4","ABC Unified","Artesia High","Los Angeles","High School","1549","15.2","0.3","4.7","9.4","6.9","72.4","0.6","0.6","0.4","4.7","75.7","22.1","12","9.4","472","435","10054","65","11","8","0","0","0","5","10","81550"
"5","Acalanes Union High","Acalanes High","Contra Costa","High School","1423","1.2","0","9.7","0.8","1.7","7.7","0.4","7.4","0.3","72","3.2","20.3","13","2.2","602","587","12770","58","10","10","2","0","0","9","10","87308"
"6","Acalanes Union High","Las Lomas High","Contra Costa","High School","1528","4.4","0.4","11.9","2.8","3.9","10.5","0.3","3.2","0.7","66.3","8.6","20","11","2","577","553","12770","58","10","10","2","0","0","9","10","87308"
"7","Acalanes Union High","Miramonte High","Contra Costa","High School","1232","0.4","0.2","13.9","1.7","1.2","8.3","0.6","9.6","1.3","63.3","1.1","20.1","11","2.7","610","609","12770","58","10","10","2","0","0","9","10","87308"
"8","Acalanes Union High","Campolindo High","Contra Costa","High School","1300","0.7","0.1","14.8","0.8","1.6","8.2","0.1","9.1","1.6","63.8","2.1","20.7","13","1.2","607","611","12770","58","10","10","2","0","0","9","10","87308"
"9","Acton-Agua Dulce Unified","Method Schools High","Los Angeles","High School","6","N/A","0","16.7","0","0","33.3","0","0","16.7","33.3","0","4","1","0","N/A","N/A","11742","44","11","9","1","0","0","13","10","N/A"
"10","Acton-Agua Dulce Unified","Academy of Arts and Sciences: Los Angeles","Los Angeles","High School","29","N/A","0","3.4","6.9","0","31","3.4","6.9","6.9","41.4","37.9","9","2","0","N/A","N/A","11742","44","11","9","1","0","0","13","10","N/A"
"11","Acton-Agua Dulce Unified","Valley Prep 9-12","Los Angeles","High School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11742","44","11","9","1","0","0","13","10","N/A"
"12","Acton-Agua Dulce Unified","Vasquez High","Los Angeles","High School","399","5","1.3","0.5","1.5","0.3","37.6","0","4.5","0","54.4","25.6","21.2","5","4.5","510","516","11742","44","11","9","1","0","0","13","10","N/A"
"13","Acton-Agua Dulce Unified","SIATech Academy South","Los Angeles","High School","96","19.8","1","3.1","3.1","0","90.6","1","0","0","1","83.3","0","N/A","0","N/A","N/A","11742","44","11","9","1","0","0","13","10","N/A"
"14","Alameda County Office of Education","Aspire California College Preparatory Academy","Alameda","High School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17","31","3","1","2","0","31","5","N/A"
"15","Alameda County Office of Education","Envision Academy for Arts & Technology","Alameda","High School","407","9.3","1.2","1.7","38.3","0.2","51.4","0.7","1.2","2","3.2","67.3","20.4","3","14.7","376","386","N/A","17","31","3","1","2","0","31","5","N/A"
"16","Alameda Unified","Alameda High","Alameda","High School","1718","11.8","0.2","40.3","6.5","5.3","11.9","0.8","3.9","0.1","31.1","18.2","21.4","11","2.5","562","533","11179","62","10","7","1","0","0","6","13","70250"
"17","Alameda Unified","Alternatives in Action","Alameda","High School","165","53.3","0","0","5.5","0.6","92.7","0","0","0.6","0.6","93.3","19","3","4.5","365","359","11179","62","10","7","1","0","0","6","13","70250"
"18","Alameda Unified","Encinal High","Alameda","High School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11179","62","10","7","1","0","0","6","13","70250"
"19","Alameda Unified","Alameda Community Learning Center","Alameda","High School","379","6.9","0.3","17.4","6.9","5.3","14.8","0","10","1.6","43.8","11.1","23.3","3","3.5","539","516","11179","62","10","7","1","0","0","6","13","70250"
"20","Albany City Unified","Albany High","Alameda","High School","1210","9","0.2","28.6","4.9","1.7","16.6","0.3","10.3","0.1","37.2","17","19.3","6","2.5","607","575","11998","64","13","4","1","1","0","8","9","70558"
"21","Alhambra Unified","San Gabriel High","Los Angeles","High School","2253","22.2","0.4","58.1","0.5","1.2","36.7","0.1","1","0.8","1.2","78.3","26.6","12","0.6","552","484","10711","57","12","10","1","1","0","6","13","81234"
"22","Alhambra Unified","Alhambra High","Los Angeles","High School","2642","16.5","0.3","41.6","1.1","1.9","51.2","0.2","1.6","0.1","2.1","72.1","25.6","13","0.3","527","469","10711","57","12","10","1","1","0","6","13","81234"
"23","Alhambra Unified","Mark Keppel High","Los Angeles","High School","2298","17","0.2","71.3","0.2","1.7","22","0","3","0","1.7","57.5","26.8","15","0.1","595","523","10711","57","12","10","1","1","0","6","13","81234"
"24","Alpaugh Unified","California Connections Academy@Central","Tulare","High School","403","3.5","0.2","1.7","4.2","0.5","43.2","0","6.9","0","43.2","49.9","42.2","2","0","0","0","13559","55","10","5","1","0","0","10","17","56357"
"25","Alpaugh Unified","Alpaugh Junior-Senior High","Tulare","High School","130","33.1","0","0.8","0","0","93.8","0","0","0","5.4","93.8","11.3","6","22","0","0","13559","55","10","5","1","0","0","10","17","56357"
"26","Alvord Unified","Norte Vista High","Riverside","High School","2243","35.3","0.2","1.3","1.7","0.2","90.8","0.3","0.4","0","5.1","83.9","24.7","11","1.8","379","384","10649","64","12","7","1","0","0","5","9","91071"
"27","Alvord Unified","La Sierra High","Riverside","High School","1893","26.9","0.4","4.2","4.4","2.3","78","0.2","1.9","0","8.6","73.3","18.6","7","15","410","401","10649","64","12","7","1","0","0","5","9","91071"
"28","Alvord Unified","Hillcrest High","Riverside","High School","1790","16.2","0.2","6.3","6.8","3.5","64.3","0.5","1.6","0","16.8","57.4","24.6","8","3.1","415","419","10649","64","12","7","1","0","0","5","9","91071"
"29","Amador County Unified","Amador High","Amador","High School","645","0.5","2.5","0.8","0.2","0.5","17.2","0","6","1.9","71","39.5","24.4","11","8.3","529","519","8259","49","11","6","1","0","0","7","12","66716"
"30","Amador County Unified","Argonaut High","Amador","High School","498","0.4","2.8","0.6","0.2","1","21.7","0.6","5.2","2.2","65.7","37.3","23.9","10","12.3","518","498","8259","49","11","6","1","0","0","7","12","66716"
"31","Anaheim Union High","Oxford Academy","Orange","High School","1208","0.3","0.3","59.8","1.7","7.9","17.5","0.4","2.3","0","10","34.9","29.8","14","1.2","652","641","11004","63","8","8","1","0","0","5","10","93131"
"32","Anaheim Union High","Magnolia High","Orange","High School","1815","28.3","1.2","9.9","2.3","2.7","67.5","1.4","6.7","0","8.3","77.7","23.6","12","2.8","448","435","11004","63","8","8","1","0","0","5","10","93131"
"33","Anaheim Union High","Western High","Orange","High School","2125","23.4","0.6","8.9","3.3","5","66.6","1","3.2","0","11.3","72","26.6","14","3.7","500","450","11004","63","8","8","1","0","0","5","10","93131"
"34","Anaheim Union High","Katella High","Orange","High School","2619","23.4","0.2","2.9","1","1.4","88.9","0.4","0.5","0","4.7","80.5","26.7","14","3.8","446","423","11004","63","8","8","1","0","0","5","10","93131"
"35","Anaheim Union High","Cypress High","Orange","High School","2749","6.3","0.7","31.1","3.4","6.6","25.3","0.5","7.2","0","25.2","30.6","28.8","13","3.1","558","521","11004","63","8","8","1","0","0","5","10","93131"
"36","Anaheim Union High","John F. Kennedy High","Orange","High School","2433","7.5","0.4","23.1","4","11.3","37.6","0.3","5","0","18.3","45.4","22.7","15","4.7","437","428","11004","63","8","8","1","0","0","5","10","93131"
"37","Anaheim Union High","Savanna High","Orange","High School","2035","21.4","0.9","6.6","2.8","3.7","73","0.6","3","0","9.5","77.1","26.7","13","5.6","454","442","11004","63","8","8","1","0","0","5","10","93131"
"38","Anaheim Union High","Anaheim High","Orange","High School","3164","24.9","0.3","1.3","0.5","0.8","94.4","0.1","0.4","0","2.1","83.4","26.9","13","4.3","454","445","11004","63","8","8","1","0","0","5","10","93131"
"39","Anaheim Union High","Loara High","Orange","High School","2303","24.5","0.3","8.7","2.1","3.2","75.9","0.6","1.2","0","8","76.8","26.5","14","4.2","458","434","11004","63","8","8","1","0","0","5","10","93131"
"40","Anderson Union High","Anderson New Technology High","Shasta","High School","213","0.5","7","2.3","0.9","0.5","8.5","0","4.2","0.5","76.1","52.1","19","9","2.9","0","0","10960","52","8","12","3","0","0","8","13","69290"
"41","Anderson Union High","West Valley High","Shasta","High School","870","1.3","4.4","1.4","0.7","0.1","13.6","0.3","3.1","0.1","76.3","39.8","24.9","15","8.7","436","425","10960","52","8","12","3","0","0","8","13","69290"
"42","Anderson Union High","Anderson High","Shasta","High School","611","2.9","7.4","3.4","3.1","0.7","22.1","0.7","0.3","0","62.4","59.6","21.4","15","6.5","474","456","10960","52","8","12","3","0","0","8","13","69290"
"43","Anderson Valley Unified","Anderson Valley Junior-Senior High","Mendocino","High School","232","19","0","0","0.4","0","75","0","0.4","0","24.1","79.7","12.1","11","11.6","511","497","13775","63","11","6","1","0","0","9","9","52575"
"44","Antelope Valley Union High","Desert Sands Charter","Los Angeles","High School","1931","12.7","0.6","0.6","16.4","0.7","60.8","0.7","4","0.9","15.2","84.4","19.7","4","0.2","0","0","11177","61","11","10","1","0","0","5","12","77627"
"45","Antelope Valley Union High","Littlerock High","Los Angeles","High School","1537","17.2","0.7","0.1","6.5","0.1","77.4","0.1","2.7","0","12.4","82.6","21.7","12","8.1","412","426","11177","61","11","10","1","0","0","5","12","77627"
"46","Antelope Valley Union High","Quartz Hill High","Los Angeles","High School","3063","2.8","0.3","3.8","10.6","1.7","36.9","0.2","5.9","0","40.6","34.9","24.3","16","6.1","497","488","11177","61","11","10","1","0","0","5","12","77627"
"47","Antelope Valley Union High","Lancaster High","Los Angeles","High School","2307","6.4","0.5","1.7","19.1","3.4","50.1","0.3","4.9","0","19.9","60.5","21.8","12","6.5","455","442","11177","61","11","10","1","0","0","5","12","77627"
"48","Antelope Valley Union High","Highland High","Los Angeles","High School","2931","9","0.6","2.5","15.5","3","59.4","0.2","2.9","0.2","15.8","58.6","22.4","14","7","473","466","11177","61","11","10","1","0","0","5","12","77627"
"49","Antelope Valley Union High","William J.","Los Angeles","High School","2956","13.1","0.2","1","14.9","1","76","0.1","1.7","0","5","73.9","22.9","11","7.3","432","439","11177","61","11","10","1","0","0","5","12","77627"
"50","Antelope Valley Union High","Academies of the Antelope Valley","Los Angeles","High School","331","2.1","0.9","2.7","15.1","3.9","51.4","0","3","0.6","22.4","58","15.7","9","6.8","0","0","11177","61","11","10","1","0","0","5","12","77627"
"51","Antelope Valley Union High","Eastside High","Los Angeles","High School","2347","10.9","0.4","0.8","27.4","1.4","59","0.2","3.8","0","7.1","79.6","24","9","12","415","414","11177","61","11","10","1","0","0","5","12","77627"
"52","Antelope Valley Union High","Antelope Valley High","Los Angeles","High School","1821","15.5","0.6","0.2","33.3","0.9","54.6","0.1","3.3","0","7","81.3","21.4","8","14.9","398","400","11177","61","11","10","1","0","0","5","12","77627"
"53","Antelope Valley Union High","Palmdale High","Los Angeles","High School","2688","14.4","0.3","0.3","16.1","0.8","74.1","0","2.2","0.4","5.8","78.6","21.3","13","11.3","421","420","11177","61","11","10","1","0","0","5","12","77627"
"54","Antelope Valley Union High","Los Angeles County Online High","Los Angeles","High School","249","10","0","2.4","14.5","0.4","47.8","0.4","0","0.4","34.1","54.6","23.2","4","0","N/A","N/A","11177","61","11","10","1","0","0","5","12","77627"
"55","Antioch Unified","Antioch High","Contra Costa","High School","1798","13.7","0.8","2.2","22.1","3","49","1.1","2.6","0","19.2","70.9","25.5","10","9.7","432","431","10378","66","12","6","0","0","0","5","9","75768"
"56","Antioch Unified","Deer Valley High","Contra Costa","High School","2431","7.4","0.5","6.8","34.5","7","29.8","1","4","0","16.4","54.3","23.4","10","9.7","467","452","10378","66","12","6","0","0","0","5","9","75768"
"57","Apple Valley Unified","Apple Valley High","San Bernardino","High School","2218","5.7","0.5","2.4","9","0.6","42.3","0.3","1","0.1","43.8","56.8","24.2","12","6.8","490","473","9581","62","10","7","0","0","0","6","10","75980"
"58","Apple Valley Unified","Granite Hills High","San Bernardino","High School","1451","6.3","0.7","3.4","12.2","0.8","46.2","0.6","1.3","0.1","34.7","67.1","25.3","16","2.3","531","495","9581","62","10","7","0","0","0","6","10","75980"
"59","Arcadia Unified","Arcadia High","Los Angeles","High School","3424","7.6","0.2","65.2","1.8","3.6","14.7","0.1","1.1","0.1","13.2","23","24","14","0","634","584","9446","67","9","7","1","0","0","7","8","92791"
"60","Aromas/San Juan Unified","Anzar High","San Benito","High School","361","7.5","0.6","1.4","0.8","0.3","66.8","0","2.5","0","27.7","54.8","19.9","7","2.9","469","480","9853","54","9","7","1","0","0","9","14","67900"
"61","Atascadero Unified","Atascadero High","San Luis Obispo","High School","1331","4.9","1.1","1.6","1.6","1.1","28","0.4","1.1","0.2","65","28.5","20.8","15","5","511","514","9630","57","9","14","1","0","0","5","11","67147"
"62","Azusa Unified","Azusa High","Los Angeles","High School","1289","19","0.4","1.2","1.4","1.6","91.5","0","0.4","0","3.5","74.9","20.4","12","0.2","451","424","11893","62","12","7","0","0","0","5","10","79903"
"63","Azusa Unified","Gladstone High","Los Angeles","High School","1216","14.7","0.2","0.6","0.5","1.5","92.9","0.2","0.4","0","3.7","76.4","23.2","12","0.5","445","433","11893","62","12","7","0","0","0","5","10","79903"
"64","Baker Valley Unified","Baker High","San Bernardino","High School","38","52.6","0","0","0","0","84.2","0","0","0","15.8","94.7","6.3","5","0","0","0","21382","54","6","9","0","0","0","14","18","N/A"
"65","Baldwin Park Unified","Sierra Vista High","Los Angeles","High School","2013","9.1","0","7.3","0.4","3","88.5","0.1","0","0","0.6","85.7","24.8","4","4.8","462","445","11123","61","13","5","0","0","0","4","13","89169"
"66","Baldwin Park Unified","Opportunities For Learning - Baldwin Park II","Los Angeles","High School","2919","11.5","0.8","0.8","15.8","0.4","69","0.5","2.7","0.2","9.8","86.3","21.1","3","0","411","430","11123","61","13","5","0","0","0","4","13","89169"
"67","Baldwin Park Unified","Baldwin Park High","Los Angeles","High School","1979","10.6","0.2","4.5","0.6","1.5","92.3","0.1","0","0","0.8","85.6","24","4","4.6","486","456","11123","61","13","5","0","0","0","4","13","89169"
"68","Banning Unified","Banning High","Riverside","High School","1111","11.2","3.3","6.6","10.3","1.2","64.9","0.1","1.5","0","12.2","82.6","24.6","9","8","424","422","11294","60","7","10","0","1","0","8","14","68472"
"69","Barstow Unified","Barstow High","San Bernardino","High School","1401","9.4","1.6","1.3","16.5","0.9","53","1.7","3.3","0","21.8","69.7","21.3","7","10.5","481","452","9500","62","11","9","0","0","0","6","12","67244"
"70","Bassett Unified","Bassett Senior High","Los Angeles","High School","1069","16.6","0.2","3.1","0.5","0.7","93.6","0.1","0.4","0","1.4","84.6","23.8","13","3.1","438","435","12658","51","10","7","1","0","0","12","14","80858"
"71","Bear Valley Unified","Big Bear High","San Bernardino","High School","700","10.7","0.7","1.1","1.7","0","35.6","0.1","2.1","0","58.6","59.7","21.3","16","5.4","488","461","10841","60","10","9","1","0","0","8","10","77210"
"72","Beaumont Unified","Beaumont Senior High","Riverside","High School","2562","7.5","1.3","3","5.9","3.3","49.6","0.4","2.3","0.1","34.2","58.1","26.5","8","4.1","474","459","8919","58","12","8","1","0","0","8","10","72984"
"73","Bellflower Unified","Bellflower High","Los Angeles","High School","2658","16.8","0.6","2.6","11.9","3.8","75","0.7","1.1","0","4.3","79.1","20.8","12","13.5","475","441","10335","63","13","7","1","0","0","8","9","75922"
"74","Bellflower Unified","Mayfair High","Los Angeles","High School","3023","8.4","0.2","5.2","15.5","5.8","51.9","0.9","3.7","0","16.7","54.6","22.3","13","9.6","506","484","10335","63","13","7","1","0","0","8","9","75922"
"75","Benicia Unified","Benicia High","Solano","High School","1664","1.6","0.2","5.5","8.5","9.1","17","0.4","11.2","1.2","46.9","17.8","21.8","11","7.7","563","530","9135","64","10","6","1","0","0","7","10","75196"
"76","Berkeley Unified","Berkeley High","Alameda","High School","3113","6.2","0.4","8.6","18.5","0.9","21.4","0.2","10.5","0","39.5","27.7","17.3","9","1.3","568","563","14367","60","13","8","0","0","0","8","11","73395"
"77","Berkeley Unified","REALM Charter High","Alameda","High School","366","26","0","1.1","21.9","0.5","64.5","0.3","6","1.4","4.4","73.2","26.1","2","8.3","429","425","14367","60","13","8","0","0","0","8","11","73395"
"78","Beverly Hills Unified","Beverly Hills High","Los Angeles","High School","1589","3.7","0.1","13.5","3.3","0.9","6.6","0.3","1.4","0","73.8","8.9","15.8","12","2.2","587","590","15353","61","12","5","1","0","0","9","12","72423"
"79","Big Oak Flat-Groveland Unified","Don Pedro High","Tuolumne","High School","36","N/A","2.8","0","0","0","19.4","0","2.8","2.8","72.2","66.7","14.3","6","4.5","0","0","16766","55","11","10","3","0","0","8","10","61282"
"80","Big Oak Flat-Groveland Unified","Tioga High","Tuolumne","High School","53","N/A","0","0","0","1.9","13.2","0","0","3.8","81.1","41.5","10.1","9","4.8","0","0","16766","55","11","10","3","0","0","8","10","61282"
"81","Big Pine Unified","Big Pine High","Inyo","High School","39","N/A","46.2","0","0","0","23.1","0","0","0","30.8","84.6","8","8","10.6","0","0","21046","51","9","6","0","0","0","17","17","65811"
"82","Big Valley Joint Unified","Big Valley Jr. Sr. High","Lassen","High School","86","4.7","4.7","0","0","0","14","0","0","0","81.4","53.5","11","5","9","0","0","15334","45","17","7","2","0","0","10","17","47864"
"83","Biggs Unified","Biggs High","Butte","High School","169","5.9","0.6","3.6","2.4","0","34.3","0","4.1","0","55","58.6","14","10","7.6","464","422","10878","58","8","5","1","1","0","10","14","54290"
"84","Bishop Unified","Bishop Union High","Inyo","High School","598","5.5","12.5","1.8","0.2","0.2","36.3","0","5.2","2","41.8","46.2","23","11","9.4","490","461","11498","64","9","8","0","0","0","8","11","72531"
"85","Black Oak Mine Unified","Golden Sierra Junior Senior High","El Dorado","High School","519","0.4","1.5","0.6","1","0.2","9.6","0","0.4","0","86.7","43.5","20.3","11","11.5","541","491","10902","52","10","13","2","0","0","7","13","61648"
"86","Bonita Unified","San Dimas High","Los Angeles","High School","1360","4.4","0.1","4.9","2.6","5.5","50.2","0.2","6.1","2.2","28.2","32.9","26.2","7","3.7","504","489","9248","59","10","8","1","0","0","7","13","79310"
"87","Bonita Unified","Bonita High","Los Angeles","High School","1993","2.9","0.4","5.5","3.2","2.3","48.9","0.3","6","2.2","31.3","28.3","26.9","11","4.1","493","478","9248","59","10","8","1","0","0","7","13","79310"
"88","Bonsall Unified","Bonsall High","San Diego","High School","137","11.7","4.4","1.5","2.9","2.9","41.6","0","2.9","8.8","35","46.7","13","3","5.2","N/A","N/A","9883","62","9","7","0","0","0","9","9","67768"
"89","Borrego Springs Unified","Borrego Springs High","San Diego","High School","146","17.8","0","0","0","0","82.9","0","2.1","0","15.1","84.9","17.9","6","0","404","389","14578","62","8","6","1","0","0","8","15","N/A"
"90","Borrego Springs Unified","Juan Bautista de Anza","San Diego","High School","70","7.1","0","0","2.9","0","41.4","0","4.3","0","51.4","60","13.5","5","0","0","0","14578","62","8","6","1","0","0","8","15","N/A"
"91","Brawley Union High","Brawley High","Imperial","High School","1690","24.1","0.1","0.5","1.1","0.4","88.4","0","0.4","0.6","8.5","72.9","24.9","14","6.5","455","455","10359","50","6","11","5","1","0","7","18","87596"
"92","Brea-Olinda Unified","Brea-Olinda High","Orange","High School","1872","5.2","0.2","18.9","2","3.2","33.7","0.5","2.2","0.1","39.2","22","27.2","12","2.4","558","533","8847","61","9","10","1","0","0","7","10","77297"
"93","Bret Harte Union High","Bret Harte Union High","Calaveras","High School","674","1.8","2.2","0.7","0.1","0.7","21.7","0.1","6.4","0","68","55.8","18.9","14","8.1","529","521","15274","54","7","13","2","1","0","8","14","81972"
"94","Burbank Unified","Burroughs High","Los Angeles","High School","2615","2.2","0.2","4.7","2.5","4.5","46.8","0.1","2.9","0.7","37.7","26.9","22.6","12","7.3","563","520","9454","62","12","6","1","0","0","8","10","76014"
"95","Burbank Unified","Burbank High","Los Angeles","High School","2542","5.6","0.2","6","3","4","28.5","0.1","1.7","0.7","55.6","34.4","24.5","12","3.9","544","520","9454","62","12","6","1","0","0","8","10","76014"
"96","Butte Valley Unified","Butte Valley High","Siskiyou","High School","84","11.9","4.8","1.2","0","0","45.2","0","3.6","2.4","42.9","60.7","14.3","10","2.3","0","0","12009","51","9","12","4","0","0","10","12","50352"
"97","Cabrillo Unified","Half Moon Bay High","San Mateo","High School","1020","16.4","0.3","2","0.7","1.8","45","0","2.8","0.1","47.4","34.8","24.3","7","6.7","544","529","10330","58","17","8","1","0","0","7","7","68763"
"98","Calaveras Unified","Calaveras High","Calaveras","High School","947","0.4","1.8","1.3","1.3","0.6","13.8","0.3","2.6","0","78.2","58.4","20.2","13","7.7","503","478","9650","57","12","13","1","0","0","5","10","66326"
"99","Calexico Unified","Calexico High","Imperial","High School","3036","52.5","0","0.3","0","0","99.2","0","0","0.1","0.4","82.6","23.9","8","3.6","454","436","11628","52","10","8","1","0","0","6","20","76397"
"100","Calipatria Unified","Calipatria High","Imperial","High School","370","25.9","0","0.3","3","0","86.5","0","0.8","0","9.5","77.3","16.7","9","6.2","464","460","11705","51","9","8","1","0","0","9","21","70196"
"101","Calistoga Joint Unified","Calistoga Junior-Senior High","Napa","High School","351","23.9","0.3","0.6","0","2.3","78.9","0.3","0","0.6","17.1","49.9","16.3","11","3","454","445","16509","60","11","5","3","0","0","11","9","96155"
"102","Campbell Union High","Leigh High","Santa Clara","High School","1654","3.6","0.3","11.7","1","1.1","14.5","0.2","5.3","0.3","65.6","5.3","22.5","11","2.3","575","547","11632","57","10","8","3","0","0","7","10","77441"
"103","Campbell Union High","Del Mar High","Santa Clara","High School","1167","16.9","0.1","5.4","4.7","2.8","64.9","0.9","4.5","0","16.7","40.5","22.1","7","6.1","480","478","11632","57","10","8","3","0","0","7","10","77441"
"104","Campbell Union High","Westmont High","Santa Clara","High School","1541","8.9","0.6","14.5","3.3","2.3","31.2","0.4","3.7","0.6","43.4","20.9","22.9","8","5.8","551","547","11632","57","10","8","3","0","0","7","10","77441"
"105","Campbell Union High","Branham High","Santa Clara","High School","1514","5.9","0.4","12.5","2.6","2.1","27","0.9","3.7","0.1","50.7","11.8","23.2","8","3.4","536","527","11632","57","10","8","3","0","0","7","10","77441"
"106","Campbell Union High","Prospect High","Santa Clara","High School","1474","11.1","0.3","18.5","3.5","3.7","41","0.9","5.4","0.1","26.5","26.1","24.1","9","3.7","549","533","11632","57","10","8","3","0","0","7","10","77441"
"107","Capistrano Unified","Capistrano Valley High","Orange","High School","2241","7","0.2","6.5","0.8","2","29.3","0.1","5.7","0.8","54.8","23.1","27","14","2.4","564","536","9309","66","10","8","1","0","0","4","9","86146"
"108","Capistrano Unified","Aliso Niguel High","Orange","High School","3068","2.7","0.2","11.5","1.2","2.8","17.6","0.1","7.8","0.5","58.4","11.7","28.7","15","2.5","575","549","9309","66","10","8","1","0","0","4","9","86146"
"109","Capistrano Unified","Tesoro High","Orange","High School","2451","1.3","0.4","8.2","1.8","2.7","14.1","0.1","5.1","0.2","67.4","6.9","27.1","15","2.4","558","546","9309","66","10","8","1","0","0","4","9","86146"
"110","Capistrano Unified","San Clemente High","Orange","High School","3024","4.7","0.4","1.6","0.8","0.7","24.6","0.3","5.3","0.4","65.9","20","26.3","15","2.9","530","507","9309","66","10","8","1","0","0","4","9","86146"
"111","Capistrano Unified","Dana Hills High","Orange","High School","2679","3.3","0.4","2.9","0.8","1.1","25.9","0","5.3","0.4","63.2","21.5","26.8","14","6.2","557","542","9309","66","10","8","1","0","0","4","9","86146"
"112","Capistrano Unified","San Juan Hills High","Orange","High School","2392","4.6","0.3","3.6","0.6","1.4","31.8","0.1","4.3","0.3","57.6","25.2","26.7","11","3.7","533","534","9309","66","10","8","1","0","0","4","9","86146"
"113","Carlsbad Unified","Carlsbad High","San Diego","High School","2459","3.2","0.9","5.4","1.1","1.1","27.7","0.5","5.6","0.2","57.4","17.9","25.9","15","2.6","554","534","9321","64","10","8","1","0","0","6","10","79795"
"114","Carlsbad Unified","Sage Creek High","San Diego","High School","1000","2","0.7","9.1","2","1.5","23.1","0.2","6.7","0.7","56","14.5","25.7","7","1.2","N/A","N/A","9321","64","10","8","1","0","0","6","10","79795"
"115","Carmel Unified","Carmel High","Monterey","High School","857","0.9","0.4","3.5","0.5","0.1","18.9","0.6","9.3","1.4","65.3","12.1","16.9","12","1.9","548","556","19695","58","12","9","0","0","0","9","11","102324"
"116","Carpinteria Unified","Carpinteria Senior High","Santa Barbara","High School","648","17.4","0.5","1.1","1.1","1.2","73.9","0.2","1.1","0","21","59.6","19.5","13","3.6","492","467","11803","54","12","9","4","2","0","7","12","65603"
"117","Caruthers Unified","Caruthers High","Fresno","High School","580","10.3","0.7","7.6","0","0","79.8","0.2","0.2","0","11.6","86.2","20.9","11","5.8","439","410","10461","51","12","8","2","0","0","7","18","62745"
"118","Castro Valley Unified","Castro Valley High","Alameda","High School","2917","4.3","0.3","26.2","7.9","4.9","22.5","0.4","8.3","0.4","29.2","20.3","23.9","10","4.2","558","531","9612","62","13","8","1","0","0","6","9","78965"
"119","Center Joint Unified","Center High","Sacramento","High School","1298","6.6","1.4","7.5","13.9","2.9","23.2","0.8","3.5","0.1","46.9","57.6","22.2","13","16.2","531","474","9545","63","10","6","1","0","0","6","13","74900"
"120","Center Joint Unified","Global Youth Charter","Sacramento","High School","59","5.1","3.4","1.7","10.2","1.7","42.4","0","3.4","0","37.3","67.8","11.8","8","0","0","0","9545","63","10","6","1","0","0","6","13","74900"
"121","Centinela Valley Union High","Hawthorne High","Los Angeles","High School","2187","17.7","0.1","0.6","13.1","0.9","80.3","0.4","2.7","0","1.9","80.6","20.7","9","4","406","419","12851","54","11","8","1","0","0","8","13","75050"
"122","Centinela Valley Union High","Family First Charter","Los Angeles","High School","669","40.1","0.4","1.6","14.5","1.3","73.2","1","1.2","0.6","6","6.4","51.5","2","0","N/A","N/A","12851","54","11","8","1","0","0","8","13","75050"
"123","Centinela Valley Union High","Leuzinger High","Los Angeles","High School","1829","19","0.1","5.2","19.3","1.3","67.9","1.4","3.1","0","1.7","79.1","20.1","9","1.1","409","394","12851","54","11","8","1","0","0","8","13","75050"
